;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;WORLD;;900;161 289 976;16 488 973;18 069 437;29 069 983;17 860 923;19 669 704; 313 061; 758 234;51 582 164;52 993 691;100 818 788;72 701 450;95 081 133;28 117 338;23 874 777;6 572 361;35 677 967;98 929 758;53 059 271;45 870 487;18 959 483;22 341 394;7 734 774;1 857 602;5 852 421; 604 456;6 292 141;59 147 922;6 159 859;8 166 675;9 694 248;22 910 124;12 217 016;48 636 003;24 168 588;6 202 247;11 889 956;6 375 212;19 669 704;5 035 853;9 288 464;5 345 387;2 946 161;1 071 295; 758 234; 123 300; 29 154; 160 607;7 477 497
2;  Sub-Saharan Africa;;947;14 275 437;12 385 544; 446 209; 44 360; 28 724; 7 946;  109; 5 443; 421 399; 428 086;12 911 648;1 673 466;12 890 237;11 238 182;6 239 404; 112 696; 444 472;3 202 066; 220 369;2 981 697;9 687 644;12 813 616;5 578 572;1 240 663; 428 072; 285 854;5 280 455; 91 221;..; 24 440; 4 284; 44 360; 18 137; 398 770; 13 297; 146 099; 47 688; 191 686; 7 946; 2 836;  249; 4 861; 22 629; 5 552; 5 443;  65;  31;  13; 935 703
3;  Northern Africa and Western Asia;;1833;18 912 064;1 308 852;7 111 935;5 225 211;1 524 907; 51 498;  2; 8 323;2 287 605;2 301 041;15 217 292;11 709 314;15 201 987;3 507 978;2 207 673; 15 319;1 428 904;13 202 142;3 785 994;9 416 148;2 720 357;3 293 685;1 120 423; 132 774;1 984 833; 12 549; 43 106;11 877 220; 107 502; 22 037;1 502 870;5 117 709;5 127 102;2 166 088;1 398 679; 123 484; 225 054; 418 871; 51 498;  151; 2 583; 48 764; 121 517; 8 325; 8 323;  2;..;..;1 393 731
4;  Central and Southern Asia;;921;21 247 814; 10 515; 455 473;14 198 434;1 022 902; 5 420; 1 298; 2 291;4 903 088;4 915 851;15 683 570;6 463 982;15 425 851;9 219 588;5 374 939; 30 873; 256 337;16 231 909;5 235 992;10 995 917;4 111 175; 10 718; 9 414;..;  203;  33; 1 068;15 676 606; 473 186; 335 373; 687 529;13 725 248; 455 270;4 863 593;4 782 929; 43 975; 1 333; 35 356; 5 420;  33;..; 5 387; 39 495; 3 589; 2 291; 1 298;..;..; 648 393
5;  Eastern and South-Eastern Asia;;1832;8 339 806; 4 211; 21 804; 357 145;6 651 526; 236 277;  94; 36 922; 247 149; 333 206;7 221 922;6 216 481;4 282 524;1 005 441; 267 433; 120 043;1 232 500;6 317 966;4 308 173;2 009 793; 4 662; 15 226;  135;  944; 11 015;  440; 2 692;7 019 460; 3 014;3 722 375;2 929 151; 354 131; 10 789; 105 929; 7 900; 64 011; 9 708; 24 310; 236 277;  114; 1 336; 234 827; 141 220; 37 016; 36 922;  12;  82;..; 784 678
6;  Latin America and the Caribbean;;1830;6 661 553; 11 131; 76 692; 8 921; 181 626;3 670 383;  111; 2 801;2 289 656;2 390 150;3 851 171;3 584 665;3 791 227; 266 506; 553 998; 633 829;2 923 918;3 007 796;2 246 662; 761 134; 282 538; 19 478; 2 615; 6 225; 8 347;  999; 1 292; 258 892;  16; 176 130; 5 496; 8 905; 68 345;1 600 698; 97 959; 45 784;1 206 867; 250 088;3 670 383; 579 841; 680 929;2 409 613; 688 958; 2 912; 2 801;  24;  13;  74; 420 232
7;  Oceania (excluding Australia and New Zealand);;1835; 280 580;  82; 2 446; 5 431; 81 210; 1 327; 61 890; 25 995; 80 022; 109 870; 148 533; 135 652; 135 082; 12 881;  788; 56 649; 131 074; 120 587; 46 432; 74 155;..; 2 528;  82;..; 2 446;..;..; 86 641;..; 23 049; 58 161; 5 431;..; 47 299;  42; 3 389;  599; 43 269; 1 327; 1 327;..;..; 32 723; 87 885; 25 995; 11 692; 18 146; 32 052; 22 177
8;  Australia and New Zealand;;927;4 741 947; 132 399; 227 892; 193 198; 806 339; 86 585; 163 102; 364 148;2 707 003;3 101 960;1 578 706;1 483 754;1 369 298; 94 952; 90 490; 227 260;3 199 443;1 428 643; 831 307; 597 336; 28 273; 179 490; 54 645;  871; 47 091; 73 182; 3 701;1 180 338;  868; 281 171; 525 168; 192 330; 180 801;2 604 914; 175 014;1 427 933; 687 603; 314 364; 86 585; 3 527; 12 746; 70 312; 102 089; 527 250; 364 148; 63 686; 1 705; 97 711; 61 281
9;  Europe and Northern America;;1829;86 830 775;2 636 239;9 726 986;9 037 283;7 563 689;15 610 268; 86 455; 312 311;38 646 242;39 413 527;44 205 946;41 434 136;41 984 927;2 771 810;9 140 052;5 375 692;26 061 319;55 418 649;36 384 342;19 034 307;2 124 834;6 006 653; 968 888; 476 125;3 370 414; 231 399; 959 827;22 957 544;5 575 273;3 582 100;3 981 589;3 462 010;6 356 572;36 848 712;17 692 768;4 347 572;9 711 104;5 097 268;15 610 268;4 448 024;8 590 621;2 571 623;1 797 530; 398 766; 312 311; 46 521; 9 177; 30 757;3 211 302
10;  Developed regions;;901;92 935 093;2 771 094;9 955 523;9 257 482;9 369 206;15 916 691; 249 557; 684 672;41 436 153;42 606 608;47 033 770;44 160 544;44 381 032;2 873 226;9 230 542;5 604 527;30 011 813;57 436 480;37 697 496;19 738 984;2 153 107;6 189 244;1 023 533; 476 996;3 418 150; 304 581; 965 984;25 164 061;5 576 141;4 746 136;4 623 070;3 681 341;6 537 373;39 485 417;17 870 566;5 791 289;10 401 477;5 422 085;15 916 691;4 451 551;8 604 622;2 860 518;1 950 736; 934 229; 684 672; 110 207; 10 882; 128 468;3 294 715
11;  Less developed regions;;902;68 354 883;13 717 879;8 113 914;19 812 501;8 491 717;3 753 013; 63 504; 73 562;10 146 011;10 387 083;53 785 018;28 540 906;50 700 101;25 244 112;14 644 235; 967 834;5 666 154;41 493 278;15 361 775;26 131 503;16 806 376;16 152 150;6 711 241;1 380 606;2 434 271; 299 875;5 326 157;33 983 861; 583 718;3 420 539;5 071 178;19 228 783;5 679 643;9 150 586;6 298 022; 410 958;1 488 479; 953 127;3 753 013; 584 302; 683 842;2 484 869; 995 425; 137 066; 73 562; 13 093; 18 272; 32 139;4 182 782
12; Less developed regions, excluding least developed countries;;934;56 673 106;5 148 523;7 653 514;19 008 993;7 588 543;3 736 125; 58 890; 71 459;10 008 770;10 237 641;43 037 176;26 278 038;40 176 917;16 759 138;10 084 906; 865 401;5 483 288;37 930 318;14 799 626;23 130 692;9 655 866;7 153 981;1 608 250; 416 622;2 005 458; 265 508;2 858 143;32 245 592; 545 149;3 185 257;4 403 286;18 463 844;5 648 056;9 055 820;6 296 485; 379 473;1 474 418; 905 444;3 736 125; 579 109; 683 292;2 473 724; 952 950; 130 349; 71 459; 10 889; 16 237; 31 764;3 398 289
13; Less developed regions, excluding China;;948;65 243 958;13 717 879;8 113 914;19 780 508;5 834 008;3 739 047; 63 504; 63 968;10 089 613;10 308 777;51 093 664;25 857 721;50 047 551;25 235 943;14 637 255; 960 446;5 449 414;38 940 358;13 243 578;25 696 780;16 806 376;16 152 150;6 711 241;1 380 606;2 434 271; 299 875;5 326 157;31 294 159; 583 718;1 314 876;4 519 132;19 196 790;5 679 643;9 125 059;6 297 376; 395 190;1 483 790; 948 703;3 739 047; 584 302; 683 842;2 470 903; 964 554; 127 472; 63 968; 13 093; 18 272; 32 139;3 841 517
14;  Least developed countries;;941;11 681 777;8 569 356; 460 400; 803 508; 903 174; 16 888; 4 614; 2 103; 137 241; 149 442;10 747 842;2 262 868;10 523 184;8 484 974;4 559 329; 102 433; 182 866;3 562 960; 562 149;3 000 811;7 150 510;8 998 169;5 102 991; 963 984; 428 813; 34 367;2 468 014;1 738 269; 38 569; 235 282; 667 892; 764 939; 31 587; 94 766; 1 537; 31 485; 14 061; 47 683; 16 888; 5 193;  550; 11 145; 42 475; 6 717; 2 103; 2 204; 2 035;  375; 784 493
15;  Land-locked Developing Countries (LLDC);;1636;12 370 057;3 127 085;1 388 635;1 233 587; 131 291; 230 812;  46;  547;5 409 672;5 414 526;6 107 149;3 162 522;6 070 271;2 944 627;2 673 089; 2 429; 190 121;8 725 127;6 017 301;2 707 826;2 606 368;3 479 895;1 866 800; 472 470; 352 810; 53 604; 734 211;2 400 703; 520 598; 113 642; 17 649; 712 989;1 035 825;5 397 176;5 198 735; 41 830; 101 139; 55 472; 230 812;  772; 12 907; 217 133; 12 496;  593;  547;  4;..;  42; 848 382
16;  Small island developing States (SIDS);;1637;2 758 806; 54 926; 54 168; 239 427; 831 053; 628 371; 60 617; 31 890; 560 267; 598 126;1 862 593;1 500 946;1 600 763; 361 647; 3 255; 581 657; 728 190;1 425 553;1 029 902; 395 651; 280 553; 86 595; 15 974; 6 421; 31 669;  856; 31 675;1 092 979;  4; 274 231; 556 822; 239 423; 22 499; 223 072; 7 201; 30 697; 38 676; 146 498; 628 371; 494 330; 45 355; 88 686; 337 195; 92 507; 31 890; 10 552; 18 146; 31 919; 298 087
17;  High-income countries;;1503;87 896 678;2 931 807;10 238 592;9 216 416;13 906 081;16 374 656; 278 758; 702 923;30 500 368;31 711 604;52 437 997;47 235 694;47 511 904;5 202 303;2 534 312;5 863 081;30 355 968;50 674 187;30 116 162;20 558 025;3 071 065;7 625 829;1 162 407; 486 852;4 694 022; 316 021; 966 527;28 667 067; 454 968;7 017 514;6 888 567;8 761 448;5 544 570;28 144 425;7 564 119;5 548 653;9 637 948;5 393 705;16 374 656;4 663 118;8 630 101;3 081 437;2 355 943; 981 681; 702 923; 116 250; 25 163; 137 345;3 747 077
18;  Middle-income countries;;1517;64 071 357;6 809 097;7 098 179;19 741 961;3 918 770;3 199 409; 32 638; 52 325;20 571 507;20 768 329;40 655 557;24 142 633;39 869 481;16 512 924;18 031 096; 569 667;5 087 414;46 053 899;22 521 279;23 532 620;10 111 059;7 547 948;2 630 977; 646 866; 738 851; 264 645;3 266 609;30 020 059;5 636 506;1 117 516;2 801 254;14 105 455;6 359 328;19 992 803;16 303 794; 645 675;2 244 599; 798 735;3 199 409; 312 039; 657 813;2 229 557; 578 704; 84 963; 52 325; 5 786; 3 991; 22 861;2 647 471
19; Upper-middle-income countries;;1502;35 213 683;1 034 589;6 083 907;7 964 766;2 570 764;2 930 933; 25 451; 29 133;13 209 341;13 364 831;20 484 053;15 896 778;20 103 387;4 587 275;11 548 693; 475 561;4 344 883;25 443 867;14 507 412;10 936 455;4 056 530;1 469 536; 556 176; 137 418; 434 947; 225 501; 115 494;16 184 490;4 936 501; 686 655;1 884 109;3 028 265;5 648 960;12 741 817;9 336 890; 507 537;2 214 391; 682 999;2 930 933; 309 025; 460 377;2 161 531; 467 524; 54 584; 29 133; 1 732; 1 343; 22 376;1 364 799
20; Lower-middle-income countries;;1501;28 857 674;5 774 508;1 014 272;11 777 195;1 348 006; 268 476; 7 187; 23 192;7 362 166;7 403 498;20 171 504;8 245 855;19 766 094;11 925 649;6 482 403; 94 106; 742 531;20 610 032;8 013 867;12 596 165;6 054 529;6 078 412;2 074 801; 509 448; 303 904; 39 144;3 151 115;13 835 569; 700 005; 430 861; 917 145;11 077 190; 710 368;7 250 986;6 966 904; 138 138; 30 208; 115 736; 268 476; 3 014; 197 436; 68 026; 111 180; 30 379; 23 192; 4 054; 2 648;  485;1 282 672
21;  Low-income countries;;1500;8 995 692;6 707 864; 731 939; 111 499; 33 858; 11 845;..;  260; 356 500; 357 243;7 596 522;1 251 601;7 572 340;6 344 921;3 308 244; 40 039; 73 656;2 136 622; 380 704;1 755 918;5 743 487;7 127 106;3 903 903; 723 884; 419 242; 23 769;2 056 308; 458 054; 68 385; 30 341; 3 517; 43 114; 312 697; 346 361; 300 675; 6 439; 6 794; 32 453; 11 845; 5 131;  550; 6 164; 10 139;  260;  260;..;..;..;1 041 927
22; AFRICA;;903;16 357 077;13 459 101;1 168 522; 56 328; 63 884; 9 417;  109; 6 965; 586 122; 597 864;14 752 584;2 415 638;14 727 161;12 336 946;6 909 666; 117 956; 632 331;3 742 040; 357 608;3 384 432;10 803 622;14 179 992;6 491 047;1 361 695; 720 891; 286 806;5 319 553; 567 843; 1 540; 32 985; 30 899; 54 788; 447 631; 539 020; 43 765; 161 027; 73 689; 260 539; 9 417; 2 860;  949; 5 608; 47 102; 7 074; 6 965;  65;  31;  13;1 006 629
23;  Eastern Africa;;910;4 977 644;4 139 044; 343 697; 21 658; 5 951;  162;..;  140; 94 028; 94 383;4 510 297; 310 159;4 505 277;4 200 138;2 190 254; 44 053; 105 716; 737 162; 48 877; 688 285;3 756 961;4 482 416;3 633 661; 450 933; 343 372; 47 087; 7 363; 27 934;..; 5 338;  613; 21 658;  325; 91 511;  361; 23 971; 3 314; 63 865;  162;  162;..;..; 2 517;  140;  140;..;..;..; 372 964
24;  Middle Africa;;911;2 662 490;2 351 725; 64 528;..;  630;  190;..;  13; 49 741; 49 767;2 417 060; 254 119;2 416 590;2 162 941;1 590 980; 14 592; 48 755; 602 785; 46 293; 556 492;1 815 287;2 414 771;1 424 589; 692 305; 63 046; 3 322; 231 509; 2 112;..;  630;..;..; 1 482; 48 495; 1 106;  26; 7 406; 39 957;  190;  190;..;..; 1 246;  13;  13;..;..;..; 195 663
25;  Northern Africa;;912;2 081 640;1 073 557; 722 313; 11 968; 35 160; 1 471;..; 1 522; 164 723; 169 778;1 840 936; 742 172;1 836 924;1 098 764; 670 262; 5 260; 187 859; 539 974; 137 239; 402 735;1 115 978;1 366 376; 912 475; 121 032; 292 819;  952; 39 098; 476 622; 1 540; 8 545; 26 615; 10 428; 429 494; 140 250; 30 468; 14 928; 26 001; 68 853; 1 471;  24;  700;  747; 24 473; 1 522; 1 522;..;..;..; 70 926
26;  Southern Africa;;913;1 201 708; 829 184; 10 842; 21 037; 20 584; 6 213;  109; 5 273; 240 121; 246 340; 887 023; 302 967; 872 310; 584 056; 339 338; 7 671; 250 885; 492 992; 102 515; 390 477; 388 775; 834 340; 518 762; 55 237; 5 156; 235 191; 19 994; 47 307;..; 16 948; 3 636; 21 037; 5 686; 228 301; 10 619; 118 220; 33 842; 65 620; 6 213; 2 292;  244; 3 677; 11 820; 5 382; 5 273;  65;  31;  13; 68 345
27;  Western Africa;;914;5 433 595;5 065 591; 27 142; 1 665; 1 559; 1 381;..;  17; 37 509; 37 596;5 097 268; 806 221;5 096 060;4 291 047;2 118 832; 46 380; 39 116;1 369 127; 22 684;1 346 443;3 726 621;5 082 089; 1 560; 42 188; 16 498;  254;5 021 589; 13 868;..; 1 524;  35; 1 665; 10 644; 30 463; 1 211; 3 882; 3 126; 22 244; 1 381;  192;  5; 1 184; 7 046;  17;  17;..;..;..; 298 731
28; ASIA;;935;46 418 044; 250 021;6 866 899;19 768 822;9 164 175; 291 724; 1 394; 46 014;7 273 119;7 380 320;36 281 848;23 647 605;33 073 438;12 634 243;7 179 783; 160 975;2 729 882;35 212 043;13 192 920;22 019 123;5 720 216;1 953 253; 217 497; 12 686;1 703 232; 12 070; 7 768;34 096 664; 582 162;4 071 240;5 092 935;19 186 660;5 163 667;6 995 360;6 159 040; 216 542; 210 094; 409 684; 291 724;  274; 3 219; 288 231; 277 759; 47 408; 46 014; 1 312;  82;..;2 755 876
29;  Central Asia;;5500;5 904 795;  61; 152 605; 452 366; 69 210;  30;..;  135;4 822 654;4 822 789; 674 272; 658 753; 672 458; 15 519; 578 048;  30; 82 850;5 313 561;4 461 911; 851 650; 100 650;  221;  31;..;  160;..;  30; 674 021; 432 327; 68 901;  309; 20 039; 152 445;4 822 254;4 780 364; 14 977;..; 26 913;  30;  30;..;..;  400;  135;  135;..;..;..; 407 734
30;  Eastern Asia;;906;4 639 749; 2 796;  765; 71 387;3 771 549; 235 157;..; 19 111; 165 707; 206 148;4 060 324;4 039 970;1 729 397; 20 354; 11 670; 8 963;1 005 745;3 260 671;2 688 182; 572 489;  56; 3 441;..;..;  645;  190; 2 606;3 843 056; 3 014;3 073 620; 697 929; 68 373;  120; 64 669; 7 811; 32 705; 7 475; 16 678; 235 157;..; 1 255; 233 902; 101 038; 19 111; 19 111;..;..;..; 373 277
31;  South-Eastern Asia;;920;3 700 057; 1 415; 21 039; 285 758;2 879 977; 1 120;  94; 17 811; 81 442; 127 058;3 161 598;2 176 511;2 553 127; 985 087; 255 763; 111 080; 226 755;3 057 295;1 619 991;1 437 304; 4 606; 11 785;  135;  944; 10 370;  250;  86;3 176 404;..; 648 755;2 231 222; 285 758; 10 669; 41 260;  89; 31 306; 2 233; 7 632; 1 120;  114;  81;  925; 40 182; 17 905; 17 811;  12;  82;..; 411 401
32;  Southern Asia;;5501;15 343 019; 10 454; 302 868;13 746 068; 953 692; 5 390; 1 298; 2 156; 80 434; 93 062;15 009 298;5 805 229;14 753 393;9 204 069;4 796 891; 30 843; 173 487;10 918 348; 774 081;10 144 267;4 010 525; 10 497; 9 383;..;  43;  33; 1 038;15 002 585; 40 859; 266 472; 687 220;13 705 209; 302 825; 41 339; 2 565; 28 998; 1 333; 8 443; 5 390;  3;..; 5 387; 39 095; 3 454; 2 156; 1 298;..;..; 240 659
33;  Western Asia;;922;16 830 424; 235 295;6 389 622;5 213 243;1 489 747; 50 027;  2; 6 801;2 122 882;2 131 263;13 376 356;10 967 142;13 365 063;2 409 214;1 537 411; 10 059;1 241 045;12 662 168;3 648 755;9 013 413;1 604 379;1 927 309; 207 948; 11 742;1 692 014; 11 597; 4 008;11 400 598; 105 962; 13 492;1 476 255;5 107 281;4 697 608;2 025 838;1 368 211; 108 556; 199 053; 350 018; 50 027;  127; 1 883; 48 017; 97 044; 6 803; 6 801;  2;..;..;1 322 805
34; EUROPE;;908;53 489 827;2 029 777;8 776 633;7 291 254;1 749 597;1 340 812; 6 464; 216 505;30 731 851;31 061 370;21 081 523;19 481 893;20 627 435;1 599 630;8 564 855; 847 867;15 184 197;35 549 368;22 461 500;13 087 868;1 400 090;5 179 831; 710 634; 451 295;3 150 054; 150 987; 716 861;14 667 430;5 537 750; 691 007;1 058 590;1 753 504;5 626 579;29 988 843;15 964 884;2 548 518;7 904 907;3 570 534;1 340 812; 356 491; 78 809; 905 512; 743 008; 222 969; 216 505; 3 782;  447; 2 235;1 346 934
35;  Eastern Europe;;923;21 344 124; 11 589;2 399 642;5 222 046; 175 214; 11 743; 1 340; 2 846;13 035 105;13 039 683;7 819 842;7 790 402;7 739 584; 29 440;7 351 462; 6 199;1 397 759;18 960 666;12 381 370;6 579 296; 500 661; 23 051; 3 546; 2 280; 11 462; 1 144; 4 619;7 785 440;5 175 534; 118 810; 56 404; 46 512;2 388 180;13 007 262;12 066 901; 467 926; 88 204; 384 231; 11 743; 3 877;  874; 6 992; 27 843; 4 186; 2 846;  10;  273; 1 057; 484 599
36;  Northern Europe;;924;7 194 824; 648 720; 460 498;1 087 913; 474 594; 349 688; 3 371; 144 645;3 860 460;4 041 679;2 988 210;2 583 493;2 811 634; 404 717; 221 194; 341 648;3 282 135;3 518 068;1 921 055;1 597 013; 221 690; 730 256; 378 977; 15 614; 81 536; 109 854; 144 275;1 941 469; 31 909; 242 612; 231 982;1 056 004; 378 962;3 540 898;1 259 299;1 372 966; 384 633; 524 000; 349 688; 214 725; 12 237; 122 726; 319 562; 148 016; 144 645; 2 925;  102;  344; 164 935
37;  Southern Europe;;925;6 230 114; 506 809; 797 778; 177 939; 185 438; 484 471;  732; 36 576;3 685 402;3 735 261;2 139 884;1 754 412;2 076 530; 385 472; 215 572; 153 124;2 059 274;3 663 400;2 490 669;1 172 731; 151 798;1 077 432; 118 789; 184 386; 570 623; 14 231; 189 403; 590 532; 38 503; 80 950; 104 488; 139 436; 227 155;3 546 099; 337 770; 212 990;2 260 434; 734 905; 484 471; 72 539; 29 076; 382 856; 139 303; 37 308; 36 576;  61;  66;  605; 354 969
38;  Western Europe;;926;18 720 765; 862 659;5 118 715; 803 356; 914 351; 494 910; 1 021; 32 438;10 150 884;10 244 747;8 133 587;7 353 586;7 999 687; 780 001; 776 627; 346 896;8 445 029;9 407 234;5 668 406;3 738 828; 525 941;3 349 092; 209 322; 249 015;2 486 433; 25 758; 378 564;4 349 989; 291 804; 248 635; 665 716; 511 552;2 632 282;9 894 584;2 300 914; 494 636;5 171 636;1 927 398; 494 910; 65 350; 36 622; 392 938; 256 300; 33 459; 32 438;  786;  6;  229; 342 431
39; LATIN AMERICA AND THE CARIBBEAN;;904;6 661 553; 11 131; 76 692; 8 921; 181 626;3 670 383;  111; 2 801;2 289 656;2 390 150;3 851 171;3 584 665;3 791 227; 266 506; 553 998; 633 829;2 923 918;3 007 796;2 246 662; 761 134; 282 538; 19 478; 2 615; 6 225; 8 347;  999; 1 292; 258 892;  16; 176 130; 5 496; 8 905; 68 345;1 600 698; 97 959; 45 784;1 206 867; 250 088;3 670 383; 579 841; 680 929;2 409 613; 688 958; 2 912; 2 801;  24;  13;  74; 420 232
40;  Caribbean;;915;1 121 563; 1 881; 3 012; 3 586; 11 044; 583 063;  24;  282; 448 158; 450 275; 600 775; 357 863; 593 899; 242 912;  799; 506 338; 513 539; 275 603; 262 642; 12 961; 243 131; 2 240;  698;  180;  359;  378;  625; 17 283;  4; 9 398; 1 646; 3 582; 2 653; 158 593; 6 931; 19 637; 33 199; 98 826; 583 063; 489 402; 17 457; 76 204; 289 565;  306;  282;..;..;  24; 70 513
41;  Central America;;916;1 298 916;  626; 6 653; 2 898; 24 726; 715 741;  5;  563; 382 397; 387 295; 746 314; 745 193; 729 969; 1 121; 3 106; 26 014; 424 702; 706 038; 211 445; 494 593; 2 830; 1 281;  109;  98;  655;  151;  268; 33 622;  5; 23 488; 1 238; 2 893; 5 998; 69 859; 6 581; 6 237; 37 030; 20 011; 715 741; 23 127; 622 093; 70 521; 312 538;  568;  563;  1;  4;..; 165 307
42;  South America;;931;4 241 074; 8 624; 67 027; 2 437; 145 856;2 371 579;  82; 1 956;1 459 101;1 552 580;2 504 082;2 481 609;2 467 359; 22 473; 550 093; 101 477;1 985 677;2 026 155;1 772 575; 253 580; 36 577; 15 957; 1 808; 5 947; 7 333;  470;  399; 207 987;  7; 143 244; 2 612; 2 430; 59 694;1 372 246; 84 447; 19 910;1 136 638; 131 251;2 371 579; 67 312; 41 379;2 262 888; 86 855; 2 038; 1 956;  23;  9;  50; 184 412
43; NORTHERN AMERICA;;905;33 340 948; 606 462; 950 353;1 746 029;5 814 092;14 269 456; 79 991; 95 806;7 914 391;8 352 157;23 124 423;21 952 243;21 357 492;1 172 180; 575 197;4 527 825;10 877 122;19 869 281;13 922 842;5 946 439; 724 744; 826 822; 258 254; 24 830; 220 360; 80 412; 242 966;8 290 114; 37 523;2 891 093;2 922 999;1 708 506; 729 993;6 859 869;1 727 884;1 799 054;1 806 197;1 526 734;14 269 456;4 091 533;8 511 812;1 666 111;1 054 522; 175 797; 95 806; 42 739; 8 730; 28 522;1 864 368
44; OCEANIA ;;909;5 022 527; 132 481; 230 338; 198 629; 887 549; 87 912; 224 992; 390 143;2 787 025;3 211 830;1 727 239;1 619 406;1 504 380; 107 833; 91 278; 283 909;3 330 517;1 549 230; 877 739; 671 491; 28 273; 182 018; 54 727;  871; 49 537; 73 182; 3 701;1 266 979;  868; 304 220; 583 329; 197 761; 180 801;2 652 213; 175 056;1 431 322; 688 202; 357 633; 87 912; 4 854; 12 746; 70 312; 134 812; 615 135; 390 143; 75 378; 19 851; 129 763; 83 458
45;  Australia and New Zealand;;927;4 741 947; 132 399; 227 892; 193 198; 806 339; 86 585; 163 102; 364 148;2 707 003;3 101 960;1 578 706;1 483 754;1 369 298; 94 952; 90 490; 227 260;3 199 443;1 428 643; 831 307; 597 336; 28 273; 179 490; 54 645;  871; 47 091; 73 182; 3 701;1 180 338;  868; 281 171; 525 168; 192 330; 180 801;2 604 914; 175 014;1 427 933; 687 603; 314 364; 86 585; 3 527; 12 746; 70 312; 102 089; 527 250; 364 148; 63 686; 1 705; 97 711; 61 281
46;  Melanesia;;928; 96 828;  38; 1 782; 4 454; 14 378;..; 20 171; 20 791; 27 920; 49 080; 40 454; 30 858; 39 153; 9 596;  597; 13 797; 52 685; 30 373; 12 321; 18 052;..; 1 820;  38;..; 1 782;..;..; 18 832;..; 1 797; 12 581; 4 454;..; 26 283;  42; 3 196;  376; 22 669;..;..;..;..; 1 637; 40 962; 20 791; 6 949; 1 680; 11 542; 7 294
47;  Micronesia;;954; 118 687;..;..;  781; 64 890; 1 327; 17 587;  328; 26 594; 30 280; 81 227; 78 561; 70 063; 2 666;  191; 18 914; 44 695; 66 812; 12 719; 54 093;..;..;..;..;..;..;..; 65 671;..; 19 948; 44 942;  781;..;  18;..;  18;..;..; 1 327; 1 327;..;..; 26 576; 17 915;  328;  544; 16 373;  670; 7 180
48;  Polynesia*;;957; 65 065;  44;  664;  196; 1 942;..; 24 132; 4 876; 25 508; 30 510; 26 852; 26 233; 25 866;  619;..; 23 938; 33 694; 23 402; 21 392; 2 010;..;  708;  44;..;  664;..;..; 2 138;..; 1 304;  638;  196;..; 20 998;..;  175;  223; 20 600;..;..;..;..; 4 510; 29 008; 4 876; 4 199;  93; 19 840; 7 703
