;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;  Central and Southern Asia;;921;19 676 783; 64 296; 379 759;12 690 299;1 251 284; 14 144;  895; 5 216;4 364 013;4 385 378;14 384 528;5 483 930;14 097 398;8 900 598;6 311 443; 51 497; 394 604;13 612 014;4 692 853;8 919 161;4 763 288; 64 628; 62 979;..;  332;  257; 1 060;14 321 010; 488 597; 394 268; 857 016;12 201 702; 379 427;4 276 506;4 180 837; 70 926; 5 998; 18 745; 14 144;  61;..; 14 083; 87 507; 6 111; 5 216;  895;..;..; 906 877
5;  Eastern and South-Eastern Asia;;1832;15 760 463; 10 374; 24 771;1 395 298;12 687 477; 345 923; 1 085; 70 857; 416 756; 578 892;14 373 649;10 208 138;9 719 949;4 165 511;1 202 368; 130 707;1 744 343;13 195 648;7 303 444;5 892 204; 12 550; 15 293; 1 208;  642; 4 919; 2 349; 6 175;14 102 627; 32 244;5 499 009;7 188 468;1 363 054; 19 852; 175 355; 17 281; 98 079; 12 763; 47 232; 345 923;  223; 2 171; 343 529; 241 401; 71 942; 70 857;  59; 1 026;..; 807 922
6;  Latin America and the Caribbean;;1830;8 326 588; 20 198; 65 784; 16 168; 211 566;5 344 184;  156; 4 093;2 346 204;2 415 773;5 592 580;5 184 764;5 487 207; 407 816;1 083 498; 875 616;2 940 276;4 612 680;3 672 884; 939 796; 418 956; 27 847; 3 628; 7 728; 7 649; 2 552; 6 290; 285 869;  130; 199 238; 12 328; 16 038; 58 135;1 147 896; 48 637; 51 906; 757 367; 289 986;5 344 184; 781 155; 635 043;3 927 986;1 198 308; 4 249; 4 093;  13;  117;  26; 318 235
7;  Oceania (excluding Australia and New Zealand);;1835; 298 175;  69; 3 008; 5 645; 82 438; 4 933; 65 111; 21 187; 89 303; 113 822; 157 872; 145 626; 149 117; 12 246;  908; 62 515; 135 164; 128 840; 48 238; 80 602;..; 3 077;  69;..; 3 008;..;..; 88 083;..; 16 896; 65 542; 5 645;..; 63 093;  26; 2 329;  725; 60 013; 4 933; 4 933;..;..; 26 210; 86 298; 21 187; 13 211; 21 808; 30 092; 26 481
8;  Australia and New Zealand;;927;6 830 423; 357 588; 340 843; 660 720;1 560 647; 127 221; 251 340; 580 866;2 845 434;3 476 542;3 248 117;2 986 111;2 696 817; 262 006; 200 881; 356 876;3 699 343;2 889 873;1 628 116;1 261 757; 107 172; 432 291; 128 743; 4 410; 74 703; 207 124; 17 311;2 487 507; 3 040; 714 440; 846 207; 657 680; 266 140;2 685 910; 174 637;1 564 893; 621 958; 324 422; 127 221; 5 229; 16 550; 105 442; 159 524; 832 206; 580 866; 115 782; 2 568; 132 990; 105 764
9;  Europe and Northern America;;1829;121 597 684;5 297 963;12 225 740;13 572 926;12 174 384;28 715 874; 122 578; 445 570;45 836 521;46 805 717;71 585 839;66 383 673;67 550 978;5 202 166;11 465 487;7 712 376;34 578 601;79 870 832;50 657 181;29 213 651;3 916 834;10 732 671;1 941 942; 799 036;5 434 708; 443 315;2 113 670;32 538 342;6 614 698;5 967 313;6 207 071;6 958 228;6 791 032;43 765 365;21 989 284;5 067 570;9 979 817;6 728 694;28 715 874;6 474 081;15 546 508;6 695 285;2 071 156; 568 148; 445 570; 74 233; 13 474; 34 871;3 206 128
10;  Developed regions;;901;130 562 258;5 660 163;12 568 176;14 290 555;15 319 871;29 133 420; 373 918;1 039 442;48 795 169;50 408 479;76 772 235;71 295 205;71 498 918;5 477 030;11 666 368;8 071 764;38 964 851;84 138 297;53 349 971;30 788 326;4 024 006;11 171 167;2 070 685; 803 446;5 511 004; 650 439;2 135 593;36 667 598;6 617 738;7 934 898;7 384 973;7 672 817;7 057 172;46 503 827;22 172 713;6 652 635;10 606 878;7 071 601;29 133 420;6 479 310;15 565 014;7 089 096;2 291 342;1 413 360;1 039 442; 190 015; 16 042; 167 861;3 381 544
11;  Less developed regions;;902;90 420 929;14 282 561;12 745 535;26 791 833;15 657 335;5 504 230; 67 985; 109 823;9 885 935;10 178 682;74 866 555;44 845 886;70 439 555;30 020 669;16 074 537;1 329 391;6 684 345;60 443 602;20 825 444;39 618 158;17 694 610;18 022 685;5 453 507;2 204 097;3 740 124; 549 374;6 075 583;51 454 579; 614 557;4 928 396;10 728 939;26 177 276;9 005 411;8 207 474;5 405 429; 526 145;1 121 247;1 154 653;5 504 230; 794 192; 639 437;4 070 601;1 678 461; 177 808; 109 823; 14 263; 22 988; 30 734;5 375 692
12; Less developed regions, excluding least developed countries;;934;79 989 053;7 902 145;12 092 901;26 008 452;14 567 577;5 473 621; 63 280; 107 114;9 711 388;9 987 056;65 939 422;41 871 676;61 749 482;24 067 746;13 718 077;1 181 231;6 425 691;56 265 436;20 084 868;36 180 568;13 040 289;11 044 991;2 775 363; 819 253;3 142 846; 499 817;3 807 712;49 526 084; 587 879;4 674 529;9 893 048;25 420 573;8 950 055;8 087 603;5 404 370; 474 846;1 101 993;1 106 394;5 473 621; 785 179; 638 919;4 049 523;1 623 785; 170 394; 107 114; 12 272; 21 194; 29 814;4 062 575
13; Less developed regions, excluding China;;948;86 472 612;14 282 561;12 745 535;26 743 267;12 061 284;5 453 507; 67 985; 95 698;9 804 385;10 065 169;71 189 053;41 180 283;69 532 289;30 008 770;16 065 396;1 319 716;6 191 293;57 145 639;18 059 543;39 086 096;17 694 610;18 022 685;5 453 507;2 204 097;3 740 124; 549 374;6 075 583;47 809 962; 614 557;2 027 650;10 033 634;26 128 710;9 005 411;8 173 719;5 403 630; 502 899;1 118 328;1 148 862;5 453 507; 794 192; 639 437;4 019 878;1 630 666; 163 683; 95 698; 14 263; 22 988; 30 734;5 218 390
14;  Least developed countries;;941;10 431 876;6 380 416; 652 634; 783 381;1 089 758; 30 609; 4 705; 2 709; 174 547; 191 626;8 927 133;2 974 210;8 690 073;5 952 923;2 356 460; 148 160; 258 654;4 178 166; 740 576;3 437 590;4 654 321;6 977 694;2 678 144;1 384 844; 597 278; 49 557;2 267 871;1 928 495; 26 678; 253 867; 835 891; 756 703; 55 356; 119 871; 1 059; 51 299; 19 254; 48 259; 30 609; 9 013;  518; 21 078; 54 676; 7 414; 2 709; 1 991; 1 794;  920;1 313 117
15;  Land-locked Developing Countries (LLDC);;1636;11 597 176;3 544 893;1 069 714;1 194 733; 175 806; 238 161;  603; 1 389;4 561 135;4 567 234;6 219 200;3 087 765;6 168 154;3 131 435;2 183 738; 7 055; 179 114;7 715 284;4 854 975;2 860 309;2 891 256;4 055 698;1 647 152; 825 591; 510 805; 57 787;1 014 363;1 929 448; 520 843; 153 014; 22 792; 673 890; 558 909;4 544 987;4 345 986; 32 583; 126 472; 39 946; 238 161; 4 311; 11 344; 222 506; 16 148; 1 992; 1 389;  2;..;  601; 810 742
16;  Small island developing States (SIDS);;1637;4 710 457; 55 082; 137 968; 824 105;1 762 307; 838 899; 63 678; 34 487; 582 880; 621 650;3 677 756;3 029 889;3 210 333; 647 867; 6 912; 785 794; 798 366;3 027 560;1 951 311;1 076 249; 436 581; 136 938; 19 887; 3 470; 81 856; 1 196; 30 529;2 642 524;  11; 477 160;1 285 147; 824 094; 56 112; 252 344; 3 500; 30 229; 25 998; 192 617; 838 899; 672 646; 53 301; 112 952; 330 536; 98 165; 34 487; 11 980; 21 808; 29 890; 411 051
17;  High-income countries;;1503;142 642 749;5 955 493;15 415 403;21 669 459;23 481 657;29 967 194; 406 586;1 075 314;39 850 247;41 534 023;96 287 330;85 915 868;87 506 957;10 371 462;5 297 803;8 434 455;39 553 085;92 224 331;50 617 461;41 606 870;5 974 273;14 003 323;2 323 548; 809 140;8 047 830; 668 902;2 153 903;52 518 689;1 204 553;11 471 241;12 010 416;20 464 906;7 367 573;37 089 395;13 834 338;6 494 075;9 656 788;7 104 194;29 967 194;6 771 383;15 608 208;7 587 603;2 760 852;1 481 900;1 075 314; 197 298; 34 240; 175 048;4 821 396
18;  Middle-income countries;;1517;69 069 732;8 590 035;7 703 092;19 283 407;7 445 315;4 536 897; 32 798; 70 371;18 313 997;18 531 567;47 444 345;27 093 553;46 559 079;20 350 792;20 561 178; 744 451;5 777 755;48 291 599;22 037 481;26 254 118;11 732 461;9 230 759;2 786 362;1 013 381; 640 724; 496 167;4 294 125;33 791 090;5 980 592;1 349 006;6 096 309;13 302 815;7 062 368;17 115 535;13 501 785; 678 396;2 058 615; 876 739;4 536 897; 427 246; 595 725;3 513 926;1 198 462; 103 169; 70 371; 5 553; 4 790; 22 455;3 093 820
19; Upper-middle-income countries;;1502;42 080 101;2 078 039;6 570 472;9 118 065;5 960 606;4 344 135; 25 847; 46 462;12 778 504;12 937 382;27 984 748;19 663 589;27 488 861;8 321 159;13 270 341; 615 519;4 861 165;31 477 521;15 664 201;15 813 320;4 580 350;2 389 052;1 188 434; 257 736; 311 013; 444 473; 187 396;21 338 130;5 393 171; 903 224;5 057 382;3 724 894;6 259 459;11 758 830;8 459 677; 527 684;2 009 462; 762 007;4 344 135; 422 250; 511 080;3 410 805;1 019 674; 72 309; 46 462; 2 255; 1 540; 22 052;1 157 971
20; Lower-middle-income countries;;1501;26 989 631;6 511 996;1 132 620;10 165 342;1 484 709; 192 762; 6 951; 23 909;5 535 493;5 594 185;19 459 597;7 429 964;19 070 218;12 029 633;7 290 837; 128 932; 916 590;16 814 078;6 373 280;10 440 798;7 152 111;6 841 707;1 597 928; 755 645; 329 711; 51 694;4 106 729;12 452 960; 587 421; 445 782;1 038 927;9 577 921; 802 909;5 356 705;5 042 108; 150 712; 49 153; 114 732; 192 762; 4 996; 84 645; 103 121; 178 788; 30 860; 23 909; 3 298; 3 250;  403;1 935 849
21;  Low-income countries;;1500;8 781 206;5 300 381;2 194 136; 129 329; 48 255; 18 475;  600;  307; 297 331; 298 769;7 690 045;3 031 905;7 656 550;4 658 140;1 880 804; 60 604; 87 769;3 944 485;1 461 181;2 483 304;3 955 800;5 862 555;2 321 817;1 185 022; 562 174; 34 700;1 758 842;1 809 546; 47 150; 41 864; 6 391; 82 179;1 631 962; 288 735; 242 019; 4 222; 11 726; 30 768; 18 475; 8 926;  518; 9 031; 8 596;  907;  307;..;..;  600; 792 392
22; AFRICA;;903;17 806 677;13 687 201;1 557 970; 136 216; 86 847; 19 077;  735; 11 288; 650 710; 666 414;15 483 630;3 963 521;15 448 838;11 520 109;5 963 708; 198 500; 751 829;5 582 171; 565 473;5 016 698;9 637 542;14 571 247;4 924 826;2 188 150; 884 046; 527 151;6 047 074; 896 987; 3 917; 44 318; 42 529; 132 299; 673 924; 604 211; 43 781; 169 752; 95 553; 295 125; 19 077; 7 558; 1 340; 10 179; 46 499; 12 023; 11 288;  82;  37;  616;1 656 633
23;  Eastern Africa;;910;4 743 657;3 958 289; 215 245; 48 641; 7 905;  55;..;  310; 132 003; 132 603;4 229 845; 437 268;4 223 538;3 792 577;1 606 306; 97 207; 153 968; 809 235; 63 831; 745 404;3 392 094;4 173 175;3 078 175; 800 135; 214 886; 63 927; 16 052; 56 905;..; 6 882; 1 023; 48 641;  359; 128 168;  408; 17 976; 5 459; 104 325;  55;  55;..;..; 3 835;  310;  310;..;..;..; 381 209
24;  Middle Africa;;911;2 436 802;1 553 439; 322 734;..; 1 174;  403;..;  13; 52 964; 52 998;1 877 729; 282 807;1 876 808;1 594 922; 547 889; 21 623; 51 048; 673 050; 77 797; 595 253;1 206 629;1 873 615; 186 610;1 049 226; 320 176; 5 963; 311 640; 3 732;..; 1 174;..;..; 2 558; 50 639; 2 097;  235; 9 312; 38 995;  403;  403;..;..; 2 325;  13;  13;..;..;..; 506 075
25;  Northern Africa;;912;1 952 040; 732 627; 944 410; 14 949; 43 021; 1 643;..; 1 195; 141 901; 145 073;1 734 673; 941 943;1 730 001; 792 730; 396 420; 7 960; 194 733; 725 741; 192 866; 532 875; 815 147;1 027 165; 571 303; 125 021; 294 538; 1 037; 35 266; 707 842; 2 400; 7 679; 35 342; 12 549; 649 872; 121 504; 18 561; 14 471; 22 343; 66 129; 1 643;  30;  902;  711; 20 397; 1 195; 1 195;..;..;..; 72 294
26;  Southern Africa;;913;2 352 541;1 710 312; 19 284; 68 615; 27 239; 9 765;  135; 9 743; 286 219; 297 482;1 833 830; 782 200;1 814 801;1 051 630; 840 708; 11 783; 305 167;1 136 295; 196 538; 939 757; 689 385;1 718 813;1 085 740; 130 904; 8 501; 455 634; 38 034; 106 637;  29; 22 134; 5 105; 68 586; 10 783; 271 293; 21 340; 135 043; 51 800; 63 110; 9 765; 2 667;  435; 6 663; 14 926; 9 878; 9 743;  82;  37;  16; 221 229
27;  Western Africa;;914;6 321 637;5 732 534; 56 297; 4 011; 7 508; 7 211;  600;  27; 37 623; 38 258;5 807 553;1 519 303;5 803 690;4 288 250;2 572 385; 59 927; 46 913;2 237 850; 34 441;2 203 409;3 534 287;5 778 479; 2 998; 82 864; 45 945;  590;5 646 082; 21 871; 1 488; 6 449; 1 059; 2 523; 10 352; 32 607; 1 375; 2 027; 6 639; 22 566; 7 211; 4 403;  3; 2 805; 5 016;  627;  27;..;..;  600; 475 826
28; ASIA;;935;66 123 640; 579 705;11 120 366;26 690 713;16 861 324; 426 361; 1 983; 86 261;6 912 932;7 108 893;55 570 752;37 477 396;50 605 516;18 093 356;9 026 423; 195 272;3 543 983;51 497 503;17 603 523;33 893 980;7 638 112;3 426 719; 524 984; 8 219;2 847 014; 19 671; 26 831;51 825 389; 610 510;5 921 089;10 940 235;26 080 203;8 273 352;6 444 826;5 321 777; 322 330; 272 705; 528 014; 426 361;  546; 5 010; 420 805; 468 106; 88 244; 86 261;  957; 1 026;..;3 443 995
29;  Central Asia;;5500;5 264 938;  47; 158 573; 476 533; 92 898;  23;..;  111;4 203 436;4 203 547; 728 074; 715 076; 725 684; 12 998; 592 858;  23; 58 878;4 766 960;3 889 918; 877 042; 105 783;  179;  24;..;  132;..;  23; 727 872; 459 911; 92 752;  146; 16 622; 158 441;4 203 107;4 179 257; 11 484;..; 12 366;  23;  23;..;..;  329;  111;  111;..;..;..; 333 317
30;  Eastern Asia;;906;7 062 527; 7 355; 1 773; 184 163;5 959 116; 344 048;..; 33 300; 261 441; 331 206;6 459 990;6 403 448;2 477 527; 56 542; 70 224; 12 187;1 271 770;5 518 914;4 430 654;1 088 260;  512; 8 948;..;..; 1 593; 1 549; 5 806;6 143 459; 32 244;4 724 730;1 234 386; 151 919;  180; 100 300; 16 801; 47 626; 8 042; 27 831; 344 048;..; 1 956; 342 092; 161 141; 33 300; 33 300;..;..;..; 271 331
31;  South-Eastern Asia;;920;8 697 936; 3 019; 22 998;1 211 135;6 728 361; 1 875; 1 085; 37 557; 155 315; 247 686;7 913 659;3 804 690;7 242 422;4 108 969;1 132 144; 118 520; 472 573;7 676 734;2 872 790;4 803 944; 12 038; 6 345; 1 208;  642; 3 326;  800;  369;7 959 168;..; 774 279;5 954 082;1 211 135; 19 672; 75 055;  480; 50 453; 4 721; 19 401; 1 875;  223;  215; 1 437; 80 260; 38 642; 37 557;  59; 1 026;..; 536 591
32;  Southern Asia;;5501;14 411 845; 64 249; 221 186;12 213 766;1 158 386; 14 121;  895; 5 105; 160 577; 181 831;13 656 454;4 768 854;13 371 714;8 887 600;5 718 585; 51 474; 335 726;8 845 054; 802 935;8 042 119;4 657 505; 64 449; 62 955;..;  200;  257; 1 037;13 593 138; 28 686; 301 516; 856 870;12 185 080; 220 986; 73 399; 1 580; 59 442; 5 998; 6 379; 14 121;  38;..; 14 083; 87 178; 6 000; 5 105;  895;..;..; 573 560
33;  Western Asia;;922;30 686 394; 505 035;10 715 836;12 605 116;2 922 563; 66 294;  3; 10 188;2 132 163;2 144 623;26 812 575;21 785 328;26 788 169;5 027 247;1 512 612; 13 068;1 405 036;24 689 841;5 607 226;19 082 615;2 862 274;3 346 798; 460 797; 7 577;2 841 763; 17 065; 19 596;23 401 752; 89 669; 27 812;2 894 751;12 515 447;7 874 073;1 992 965;1 123 659; 153 325; 253 944; 462 037; 66 294;  262; 2 839; 63 193; 139 198; 10 191; 10 188;  3;..;..;1 729 196
34; EUROPE;;908;70 627 160;3 770 159;10 612 198;9 751 847;2 901 481;4 581 301; 11 312; 311 830;37 605 309;38 048 407;31 497 030;28 616 564;30 449 986;2 880 466;10 401 484;1 343 040;22 669 082;44 487 704;26 403 877;18 083 827;2 375 394;8 748 280;1 268 637; 705 957;4 978 121; 317 737;1 477 828;18 287 405;6 543 542;1 346 097;1 555 384;3 208 305;5 634 077;36 683 624;19 806 219;3 379 650;8 218 433;5 279 322;4 581 301; 731 903; 223 182;3 626 216; 921 685; 323 142; 311 830; 8 503;  608; 2 201;1 081 723
35;  Eastern Europe;;923;19 110 686; 14 477;2 036 653;5 539 283; 226 453; 12 679;  709; 3 773;10 892 770;10 901 008;7 825 789;7 801 518;7 742 905; 24 271;7 489 835; 5 676;1 483 174;16 706 486;10 406 331;6 300 155; 537 023; 27 974; 4 108; 2 940; 13 497; 1 750; 5 679;7 788 892;5 501 346; 132 337; 94 116; 37 937;2 023 156;10 848 021;9 921 835; 437 694; 130 707; 357 785; 12 679; 4 195; 1 665; 6 819; 44 749; 4 482; 3 773;  14;  58;  637; 383 889
36;  Northern Europe;;924;11 294 937;1 367 005; 803 159;1 896 303; 870 281; 493 859; 7 465; 202 489;5 436 415;5 682 859;5 394 117;4 534 325;5 083 342; 859 792; 474 810; 381 830;5 270 258;5 248 990;2 411 977;2 837 013; 545 049;1 504 143; 719 518; 52 298; 137 138; 242 491; 352 698;3 432 605; 38 119; 401 358; 468 923;1 858 184; 666 021;5 057 585;1 932 685;1 719 876; 634 517; 770 507; 493 859; 253 482; 23 757; 216 620; 378 830; 209 954; 202 489; 6 615;  200;  650; 217 961
37;  Southern Europe;;925;16 206 273; 933 344;1 890 875; 638 241; 611 453;3 208 746; 1 217; 57 072;8 815 681;8 888 897;7 267 732;6 532 541;6 900 167; 735 191; 860 550; 447 873;5 664 160;10 176 571;6 418 276;3 758 295; 315 624;2 510 638; 163 805; 219 305;1 577 294; 26 599; 523 635;1 563 275; 49 692; 393 380; 218 073; 588 549; 313 581;8 629 868;3 216 418; 578 333;3 226 996;1 608 121;3 208 746; 320 388; 136 596;2 751 762; 185 813; 58 289; 57 072;  236;  329;  652; 49 644
38;  Western Europe;;926;24 015 264;1 455 333;5 881 511;1 678 020;1 193 294; 866 017; 1 921; 48 496;12 460 443;12 575 643;11 009 392;9 748 180;10 723 572;1 261 212;1 576 289; 507 661;10 251 490;12 355 657;7 167 293;5 188 364; 977 698;4 705 525; 381 206; 431 414;3 250 192; 46 897; 595 816;5 502 633; 954 385; 419 022; 774 272; 723 635;2 631 319;12 148 150;4 735 281; 643 747;4 226 213;2 542 909; 866 017; 153 838; 61 164; 651 015; 312 293; 50 417; 48 496; 1 638;  21;  262; 430 229
39; LATIN AMERICA AND THE CARIBBEAN;;904;8 326 588; 20 198; 65 784; 16 168; 211 566;5 344 184;  156; 4 093;2 346 204;2 415 773;5 592 580;5 184 764;5 487 207; 407 816;1 083 498; 875 616;2 940 276;4 612 680;3 672 884; 939 796; 418 956; 27 847; 3 628; 7 728; 7 649; 2 552; 6 290; 285 869;  130; 199 238; 12 328; 16 038; 58 135;1 147 896; 48 637; 51 906; 757 367; 289 986;5 344 184; 781 155; 635 043;3 927 986;1 198 308; 4 249; 4 093;  13;  117;  26; 318 235
40;  Caribbean;;915;1 338 893; 2 469; 2 657; 6 283; 12 707; 771 209;  21;  447; 441 216; 442 477; 794 532; 418 693; 788 104; 375 839;  690; 697 794; 511 383; 320 760; 302 312; 18 448; 376 473; 2 847;  996;  219;  378;  215; 1 039; 21 269;  11; 7 887; 4 820; 6 272; 2 279; 167 866; 2 560; 19 949; 20 155; 125 202; 771 209; 663 895; 15 516; 91 798; 273 350;  468;  447;..;..;  21; 101 884
41;  Central America;;916;1 751 028; 1 244; 6 914; 6 198; 43 627; 780 384;  8;  993; 891 597; 896 509; 834 456; 832 018; 804 293; 2 438; 4 203; 42 267; 934 927; 793 397; 345 812; 447 585; 2 559; 2 120;  219;  250;  876;  294;  481; 55 863;  8; 40 549; 3 078; 6 190; 6 038; 85 448; 7 652; 8 945; 39 302; 29 549; 780 384; 38 125; 572 815; 169 444; 806 149; 1 001;  993;  2;  6;..; 20 063
42;  South America;;931;5 236 667; 16 485; 56 213; 3 687; 155 232;3 792 591;  127; 2 653;1 013 391;1 076 787;3 963 592;3 934 053;3 894 810; 29 539;1 078 605; 135 555;1 493 966;3 498 523;3 024 760; 473 763; 39 924; 22 880; 2 413; 7 259; 6 395; 2 043; 4 770; 208 737;  111; 150 802; 4 430; 3 576; 49 818; 894 582; 38 425; 23 012; 697 910; 135 235;3 792 591; 79 135; 46 712;3 666 744; 118 809; 2 780; 2 653;  11;  111;  5; 196 288
43; NORTHERN AMERICA;;905;50 970 524;1 527 804;1 613 542;3 821 079;9 272 903;24 134 573; 111 266; 133 740;8 231 212;8 757 310;40 088 809;37 767 109;37 100 992;2 321 700;1 064 003;6 369 336;11 909 519;35 383 128;24 253 304;11 129 824;1 541 440;1 984 391; 673 305; 93 079; 456 587; 125 578; 635 842;14 250 937; 71 156;4 621 216;4 651 687;3 749 923;1 156 955;7 081 741;2 183 065;1 687 920;1 761 384;1 449 372;24 134 573;5 742 178;15 323 326;3 069 069;1 149 471; 245 006; 133 740; 65 730; 12 866; 32 670;2 124 405
44; OCEANIA ;;909;7 128 598; 357 657; 343 851; 666 365;1 643 085; 132 154; 316 451; 602 053;2 934 737;3 590 364;3 405 989;3 131 737;2 845 934; 274 252; 201 789; 419 391;3 834 507;3 018 713;1 676 354;1 342 359; 107 172; 435 368; 128 812; 4 410; 77 711; 207 124; 17 311;2 575 590; 3 040; 731 336; 911 749; 663 325; 266 140;2 749 003; 174 663;1 567 222; 622 683; 384 435; 132 154; 10 162; 16 550; 105 442; 185 734; 918 504; 602 053; 128 993; 24 376; 163 082; 132 245
45;  Australia and New Zealand;;927;6 830 423; 357 588; 340 843; 660 720;1 560 647; 127 221; 251 340; 580 866;2 845 434;3 476 542;3 248 117;2 986 111;2 696 817; 262 006; 200 881; 356 876;3 699 343;2 889 873;1 628 116;1 261 757; 107 172; 432 291; 128 743; 4 410; 74 703; 207 124; 17 311;2 487 507; 3 040; 714 440; 846 207; 657 680; 266 140;2 685 910; 174 637;1 564 893; 621 958; 324 422; 127 221; 5 229; 16 550; 105 442; 159 524; 832 206; 580 866; 115 782; 2 568; 132 990; 105 764
46;  Melanesia;;928; 110 691;  28; 2 291; 4 584; 20 260;..; 18 284; 15 001; 40 237; 55 524; 45 161; 34 826; 43 851; 10 335;  768; 10 922; 56 280; 36 960; 18 488; 18 472;..; 2 319;  28;..; 2 291;..;..; 24 844;..; 1 694; 18 566; 4 584;..; 39 253;  26; 2 116;  484; 36 627;..;..;..;..;  984; 33 285; 15 001; 7 413; 1 036; 9 835; 10 006
47;  Micronesia;;954; 114 743;..;..;  800; 58 922; 4 933; 21 749;  161; 21 670; 24 717; 83 518; 82 224; 77 526; 1 294;  140; 26 682; 41 534; 66 701; 7 408; 59 293;..;..;..;..;..;..;..; 59 722;..; 13 293; 45 629;  800;..;  9;..;  9;..;..; 4 933; 4 933;..;..; 21 661; 21 910;  161;  699; 20 683;  367; 6 508
