;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;  Northern Africa and Western Asia;;1833;23 165 804; 935 949;8 929 625;7 713 984;2 003 462; 61 466;  3; 9 479;2 205 508;2 218 888;19 640 588;15 705 483;19 619 474;3 935 105;1 768 270; 18 308;1 458 725;17 598 608;4 304 892;13 293 716;2 670 934;3 165 115; 743 442; 125 052;2 229 166; 15 441; 52 014;16 417 905; 95 664; 26 885;1 976 577;7 618 320;6 700 459;2 070 752;1 195 991; 138 151; 257 261; 479 349; 61 466;  259; 3 311; 57 896; 134 756; 9 482; 9 479;  3;..;..;1 306 328
4;  Central and Southern Asia;;921;18 854 544; 38 940; 369 113;12 317 671;1 053 982; 12 207;  598; 3 373;4 334 189;4 351 023;13 779 050;5 664 215;13 512 356;8 114 835;5 208 639; 43 127; 326 450;14 050 122;4 681 095;9 369 027;3 753 501; 39 182; 37 859;..;  242;  127;  954;13 740 524; 496 462; 361 055; 692 927;11 821 209; 368 871;4 269 185;4 183 986; 61 948; 3 241; 20 010; 12 207;  42;..; 12 165; 65 004; 3 971; 3 373;  598;..;..; 724 471
5;  Eastern and South-Eastern Asia;;1832;12 979 157; 10 175; 25 425; 907 723;10 440 868; 322 635; 2 114; 55 832; 370 029; 493 317;11 641 484;8 860 795;7 632 106;2 780 689; 724 997; 174 928;1 458 584;10 666 977;6 379 639;4 287 338; 9 240; 15 795;  880; 2 500; 5 620; 1 519; 5 276;11 368 396; 11 867;4 741 483;5 699 385; 895 856; 19 805; 168 844; 15 705; 103 885; 10 592; 38 662; 322 635;  204; 2 175; 320 256; 201 185; 57 946; 55 832;  301; 1 813;..; 844 356
6;  Latin America and the Caribbean;;1830;7 184 113; 14 533; 67 316; 12 146; 192 798;4 357 513;  148; 3 437;2 215 736;2 297 059;4 566 568;4 218 434;4 483 454; 348 134; 855 360; 779 944;2 806 069;3 665 444;2 868 439; 797 005; 359 807; 21 850; 3 167; 7 324; 7 317;  983; 3 059; 264 943;  46; 183 522; 9 276; 12 100; 59 999;1 248 692; 62 376; 48 691; 869 921; 267 704;4 357 513; 703 194; 563 563;3 090 756; 967 044; 3 585; 3 437;  22;  54;  72; 320 486
7;  Oceania (excluding Australia and New Zealand);;1835; 306 039;  92; 2 901; 5 496; 91 476; 3 473; 68 242; 22 675; 85 857; 112 346; 167 866; 154 454; 152 051; 13 412;  944; 64 216; 135 090; 137 438; 52 896; 84 542;..; 2 993;  92;..; 2 901;..;..; 96 972;..; 24 927; 66 549; 5 496;..; 58 170;  31; 2 603;  706; 54 830; 3 473; 3 473;..;..; 27 687; 90 917; 22 675; 13 106; 22 304; 32 832; 25 827
8;  Australia and New Zealand;;927;5 717 982; 260 831; 290 285; 361 003;1 177 717; 99 412; 220 023; 483 479;2 732 969;3 258 707;2 367 012;2 197 587;1 975 459; 169 425; 139 497; 306 968;3 405 921;2 119 760;1 271 906; 847 854; 73 026; 324 678; 93 109; 1 730; 63 847; 156 056; 9 936;1 765 158; 1 800; 513 174; 664 543; 359 203; 226 438;2 600 184; 175 429;1 460 116; 650 851; 313 788; 99 412; 4 679; 14 529; 80 204; 132 785; 703 502; 483 479; 96 137; 1 996; 121 890; 92 263
9;  Europe and Northern America;;1829;108 948 820;4 290 574;11 364 130;11 953 704;10 558 683;24 472 260; 115 916; 399 180;42 361 934;43 269 305;62 247 076;57 920 859;58 866 567;4 326 217;10 474 769;6 949 708;30 714 724;71 513 186;45 863 225;25 649 961;3 268 664;9 145 404;1 526 730; 712 696;4 854 830; 355 471;1 695 677;29 021 687;6 313 040;5 135 711;5 422 972;5 640 664;6 509 300;40 404 900;19 903 523;4 756 676;9 676 043;6 068 658;24 472 260;5 791 816;13 394 767;5 285 677;1 957 034; 515 096; 399 180; 66 796; 13 739; 35 381;3 432 439
10;  Developed regions;;901;116 678 357;4 555 755;11 655 918;12 368 383;13 229 848;24 845 504; 335 939; 894 926;45 201 687;46 647 063;66 440 897;61 933 127;62 020 715;4 507 770;10 614 266;7 259 045;34 767 170;74 932 281;48 139 323;26 792 958;3 341 690;9 475 935;1 619 839; 714 426;4 920 180; 511 527;1 709 963;32 333 969;6 314 840;6 829 480;6 400 368;6 053 543;6 735 738;43 054 652;20 087 244;6 235 819;10 331 708;6 399 881;24 845 504;5 796 495;13 411 141;5 637 868;2 147 035;1 230 865; 894 926; 162 933; 15 735; 157 271;3 590 397
11;  Less developed regions;;902;74 768 471;12 719 230;10 211 873;20 979 307;12 327 135;4 492 702; 71 199; 89 354;9 647 403;9 904 773;60 633 430;35 191 301;56 855 734;25 442 129;13 673 796;1 242 271;6 115 044;48 980 398;17 595 918;31 384 480;15 263 933;15 765 471;4 572 908;2 012 130;3 046 241; 393 087;5 741 105;40 472 074; 604 059;4 190 494;8 136 641;20 375 248;7 165 632;8 282 332;5 467 542; 544 275;1 203 510;1 067 005;4 492 702; 710 176; 567 509;3 215 017;1 365 071; 160 553; 89 354; 14 087; 24 197; 32 915;4 230 268
12; Less developed regions, excluding least developed countries;;934;64 976 460;6 655 048;9 397 742;20 136 240;11 400 899;4 469 946; 66 967; 86 922;9 483 430;9 726 175;51 971 019;32 464 669;48 410 379;19 506 350;11 355 062;1 113 521;5 884 262;45 082 776;16 907 141;28 175 635;10 552 226;8 930 708;2 038 447; 640 814;2 275 660; 349 989;3 625 798;38 659 221; 574 177;3 960 353;7 440 546;19 562 063;7 122 082;8 167 604;5 466 215; 498 584;1 187 376;1 015 429;4 469 946; 705 264; 567 015;3 197 667;1 315 826; 153 889; 86 922; 12 079; 22 299; 32 589;3 279 266
13; Less developed regions, excluding China;;948;71 088 981;12 719 230;10 211 873;20 936 308;9 107 263;4 452 548; 71 199; 76 741;9 572 666;9 801 514;57 346 314;31 914 837;56 035 892;25 431 477;13 665 383;1 233 366;5 754 736;45 950 331;15 065 386;30 884 945;15 263 933;15 765 471;4 572 908;2 012 130;3 046 241; 393 087;5 741 105;37 209 203; 604 059;1 617 507;7 489 756;20 332 249;7 165 632;8 251 961;5 466 107; 523 556;1 200 623;1 061 675;4 452 548; 710 176; 567 509;3 174 863;1 320 705; 147 940; 76 741; 14 087; 24 197; 32 915;3 941 153
14;  Least developed countries;;941;9 792 011;6 064 182; 814 131; 843 067; 926 236; 22 756; 4 232; 2 432; 163 973; 178 598;8 662 411;2 726 632;8 445 355;5 935 779;2 318 734; 128 750; 230 782;3 897 622; 688 777;3 208 845;4 711 707;6 834 763;2 534 461;1 371 316; 770 581; 43 098;2 115 307;1 812 853; 29 882; 230 141; 696 095; 813 185; 43 550; 114 728; 1 327; 45 691; 16 134; 51 576; 22 756; 4 912;  494; 17 350; 49 245; 6 664; 2 432; 2 008; 1 898;  326; 951 002
15;  Land-locked Developing Countries (LLDC);;1636;11 576 028;3 007 979;1 507 915;1 272 893; 140 219; 232 501;  46;  908;4 614 485;4 619 610;6 157 336;3 205 848;6 120 899;2 951 488;2 261 602; 3 619; 174 167;7 931 602;5 167 336;2 764 266;2 671 117;3 696 636;1 364 807; 736 648; 688 657; 62 466; 844 058;2 232 370; 530 856; 126 039; 14 180; 742 037; 819 258;4 599 270;4 395 896; 39 764; 116 044; 47 566; 232 501; 1 368; 12 094; 219 039; 15 215;  954;  908;  4;..;  42; 799 082
16;  Small island developing States (SIDS);;1637;3 918 084; 51 555; 89 531; 540 116;1 460 064; 765 577; 66 707; 32 830; 592 620; 630 853;2 968 147;2 453 164;2 566 660; 514 983; 4 965; 715 729; 796 269;2 403 783;1 660 179; 743 604; 366 420; 104 239; 18 130; 5 485; 52 684; 1 191; 26 749;2 037 027;  7; 412 894;1 047 170; 540 109; 36 847; 242 728; 4 428; 30 656; 31 064; 176 580; 765 577; 609 284; 51 669; 104 624; 349 892; 99 537; 32 830; 11 702; 22 304; 32 701; 319 084
17;  High-income countries;;1503;119 026 154;4 766 977;12 829 229;14 820 935;19 562 554;25 524 614; 370 449; 922 970;35 604 502;37 107 907;77 294 323;69 548 247;69 900 461;7 746 076;4 013 660;7 587 271;35 181 105;74 521 097;43 448 398;31 072 699;4 640 985;11 358 311;1 804 683; 719 051;6 591 334; 526 640;1 716 603;40 621 384; 984 547;9 816 796;9 745 758;13 836 388;6 237 895;32 997 057;11 174 637;6 021 011;9 414 783;6 386 626;25 524 614;6 062 832;13 445 463;6 016 319;2 607 445;1 293 419; 922 970; 170 059; 34 349; 166 041;4 623 924
18;  Middle-income countries;;1517;64 747 471;7 928 762;7 477 911;18 408 635;5 953 319;3 700 019; 34 649; 58 091;18 736 542;18 932 075;43 365 853;25 463 187;42 591 394;17 902 666;18 783 619; 719 106;5 403 719;46 391 985;21 556 593;24 835 392;10 366 885;8 542 201;2 482 097;1 025 575; 613 439; 346 644;4 074 446;31 226 426;5 883 967;1 167 566;4 785 753;12 524 668;6 864 472;17 842 762;14 137 359; 752 484;2 111 404; 841 515;3 700 019; 377 094; 532 693;2 790 232; 893 780; 92 740; 58 091; 5 389; 5 583; 23 677;2 449 543
19; Upper-middle-income countries;;1502;38 209 661;1 425 053;6 368 045;8 346 879;4 627 532;3 519 406; 26 706; 36 822;12 897 045;13 048 426;24 199 062;17 882 973;23 824 101;6 316 089;12 214 030; 596 613;4 564 430;28 737 944;14 887 250;13 850 694;3 941 896;1 727 970; 771 310; 210 050; 302 917; 297 641; 146 052;19 039 539;5 227 523; 732 111;3 895 421;3 119 356;6 065 128;12 147 021;8 748 046; 575 323;2 074 454; 749 198;3 519 406; 373 029; 452 344;2 694 033; 750 024; 63 528; 36 822; 2 061; 1 415; 23 230; 962 173
20; Lower-middle-income countries;;1501;26 537 810;6 503 709;1 109 866;10 061 756;1 325 787; 180 613; 7 943; 21 269;5 839 497;5 883 649;19 166 791;7 580 214;18 767 293;11 586 577;6 569 589; 122 493; 839 289;17 654 041;6 669 343;10 984 698;6 424 989;6 814 231;1 710 787; 815 525; 310 522; 49 003;3 928 394;12 186 887; 656 444; 435 455; 890 332;9 405 312; 799 344;5 695 741;5 389 313; 177 161; 36 950; 92 317; 180 613; 4 065; 80 349; 96 199; 143 756; 29 212; 21 269; 3 328; 4 168;  447;1 487 370
21;  Low-income countries;;1500;7 227 899;4 493 312;1 559 664; 117 957; 38 881; 12 110;..;  280; 300 774; 301 643;6 221 335;2 022 897;6 193 159;4 198 438;1 489 655; 50 417; 80 046;2 893 997; 679 393;2 214 604;3 548 935;5 254 581;1 823 688; 981 930; 761 269; 31 301;1 656 393; 955 233; 50 385; 34 231; 4 650; 67 572; 798 395; 291 643; 242 790; 4 832; 8 155; 35 866; 12 110; 4 829;  494; 6 787; 9 131;  280;  280;..;..;..; 704 921
22; AFRICA;;903;16 040 087;12 346 885;1 684 772; 90 761; 78 155; 10 748;  94; 7 924; 662 187; 673 429;14 208 097;3 299 555;14 173 343;10 908 542;5 361 664; 171 358; 744 240;4 861 426; 486 435;4 374 991;9 137 069;13 411 177;4 247 782;1 995 943;1 064 292; 375 970;5 727 190; 789 396; 2 215; 41 034; 37 121; 88 546; 620 480; 617 032; 34 811; 221 287; 87 104; 273 830; 10 748; 3 032; 1 129; 6 587; 45 155; 8 018; 7 924;  57;  26;  11;1 158 561
23;  Eastern Africa;;910;4 788 649;3 747 156; 488 918; 37 089; 9 602;  52;..;  196; 129 638; 130 139;4 282 512; 382 162;4 274 580;3 900 350;1 716 932; 85 622; 149 006; 793 510; 61 823; 731 687;3 462 827;4 235 761;2 888 629; 788 326; 488 605; 59 456; 10 745; 47 004;..; 8 522; 1 080; 37 089;  313; 126 163;  365; 25 013; 4 862; 95 923;  52;  52;..;..; 3 475;  196;  196;..;..;..; 375 998
24;  Middle Africa;;911;1 961 951;1 408 031; 290 659;..;  705;  169;..;  13; 45 657; 45 688;1 699 546; 277 030;1 699 059;1 422 516; 463 032; 18 414; 44 839; 639 049; 65 115; 573 934;1 061 346;1 696 870; 214 925; 894 777; 288 839; 4 912; 293 417; 2 525;..;  705;..;..; 1 820; 43 259;  976;  287; 9 012; 32 984;  169;  169;..;..; 2 398;  13;  13;..;..;..; 216 717
25;  Northern Africa;;912;1 749 718; 622 994; 865 776; 14 798; 40 158; 1 508;..; 1 099; 119 319; 122 238;1 543 414; 896 954;1 538 361; 646 460; 246 078; 7 241; 167 589; 700 282; 173 286; 526 996; 666 618; 884 788; 460 314; 118 689; 261 794;  953; 43 038; 658 938; 2 195; 7 817; 32 341; 12 603; 603 982; 100 775; 17 066; 13 263; 20 501; 49 945; 1 508;  28;  824;  656; 18 544; 1 099; 1 099;..;..;..; 84 066
26;  Southern Africa;;913;1 582 721;1 110 386; 13 677; 37 056; 25 777; 7 352;  94; 6 589; 326 717; 334 391;1 193 257; 502 830;1 173 358; 690 427; 528 145; 9 653; 340 793; 763 914; 152 780; 611 134; 422 621;1 116 543; 681 660; 99 850; 6 157; 310 508; 18 368; 70 353;  20; 22 122; 3 655; 37 036; 7 520; 311 920; 15 021; 179 747; 49 178; 67 974; 7 352; 2 255;  300; 4 797; 14 797; 6 683; 6 589;  57;  26;  11; 55 073
27;  Western Africa;;914;5 957 048;5 458 318; 25 742; 1 818; 1 913; 1 667;..;  27; 40 856; 40 973;5 489 368;1 240 579;5 487 985;4 248 789;2 407 477; 50 428; 42 013;1 964 671; 33 431;1 931 240;3 523 657;5 477 215; 2 254; 94 301; 18 897;  141;5 361 622; 10 576;..; 1 868;  45; 1 818; 6 845; 34 915; 1 383; 2 977; 3 551; 27 004; 1 667;  528;  5; 1 134; 5 941;  27;  27;..;..;..; 426 707
28; ASIA;;935;53 249 787; 362 070;8 458 387;20 924 580;13 458 154; 394 800; 2 715; 67 585;6 790 407;6 940 990;43 517 708;29 333 539;39 225 575;14 184 169;7 455 828; 229 122;3 076 170;41 615 425;15 192 340;26 423 085;5 767 057;2 335 304; 321 867; 8 863;1 973 234; 16 134; 15 206;40 867 887; 601 798;5 121 606;8 336 548;20 322 782;6 485 153;6 408 006;5 378 616; 290 721; 250 593; 488 076; 394 800;  477; 4 662; 389 661; 382 401; 70 300; 67 585;  902; 1 813;..;2 791 089
29;  Central Asia;;5500;5 235 877;  49; 153 628; 479 315; 82 989;  24;..;  112;4 209 533;4 209 645; 716 005; 702 512; 713 769; 13 493; 594 438;  24; 59 735;4 729 185;3 916 651; 812 534; 136 730;  182;  25;..;  133;..;  24; 715 799; 462 141; 82 814;  175; 17 174; 153 495;4 209 202;4 182 388; 12 251;..; 14 563;  24;  24;..;..;  331;  112;  112;..;..;..; 310 227
30;  Eastern Asia;;906;6 228 684; 5 823; 1 651; 136 385;5 124 882; 316 553;..; 28 549; 234 387; 293 386;5 554 844;5 513 597;2 168 371; 41 247; 33 883; 11 274;1 078 036;4 769 923;3 849 243; 920 680;  271; 7 326;..;..; 1 503;  830; 4 993;5 261 415; 11 867;4 054 130;1 070 752; 124 518;  148; 90 804; 15 310; 42 285; 7 718; 25 491; 316 553;..; 1 845; 314 708; 143 583; 28 549; 28 549;..;..;..; 380 454
31;  South-Eastern Asia;;920;6 750 473; 4 352; 23 774; 771 338;5 315 986; 6 082; 2 114; 27 283; 135 642; 199 931;6 086 640;3 347 198;5 463 735;2 739 442; 691 114; 163 654; 380 548;5 897 054;2 530 396;3 366 658; 8 969; 8 469;  880; 2 500; 4 117;  689;  283;6 106 981;..; 687 353;4 628 633; 771 338; 19 657; 78 040;  395; 61 600; 2 874; 13 171; 6 082;  204;  330; 5 548; 57 602; 29 397; 27 283;  301; 1 813;..; 463 902
32;  Southern Asia;;5501;13 618 667; 38 891; 215 485;11 838 356; 970 993; 12 183;  598; 3 261; 124 656; 141 378;13 063 045;4 961 703;12 798 587;8 101 342;4 614 201; 43 103; 266 715;9 320 937; 764 444;8 556 493;3 616 771; 39 000; 37 834;..;  109;  127;  930;13 024 725; 34 321; 278 241; 692 752;11 804 035; 215 376; 59 983; 1 598; 49 697; 3 241; 5 447; 12 183;  18;..; 12 165; 64 673; 3 859; 3 261;  598;..;..; 414 244
33;  Western Asia;;922;21 416 086; 312 955;8 063 849;7 699 186;1 963 304; 59 958;  3; 8 380;2 086 189;2 096 650;18 097 174;14 808 529;18 081 113;3 288 645;1 522 192; 11 067;1 291 136;16 898 326;4 131 606;12 766 720;2 004 316;2 280 327; 283 128; 6 363;1 967 372; 14 488; 8 976;15 758 967; 93 469; 19 068;1 944 236;7 605 717;6 096 477;1 969 977;1 178 925; 124 888; 236 760; 429 404; 59 958;  231; 2 487; 57 240; 116 212; 8 383; 8 380;  3;..;..;1 222 262
34; EUROPE;;908;63 585 731;3 133 783;9 986 206;8 874 601;2 451 843;3 453 004; 10 595; 274 148;34 240 566;34 638 449;27 786 297;25 340 525;26 968 003;2 445 772;9 608 464;1 178 793;19 126 353;41 249 398;24 892 830;16 356 568;2 036 165;7 620 545;1 039 158; 647 780;4 486 762; 242 458;1 204 387;16 825 888;6 256 026;1 095 493;1 356 350;2 618 575;5 499 444;33 415 975;17 871 182;3 053 276;7 914 949;4 576 568;3 453 004; 590 659; 154 019;2 708 326; 824 591; 284 743; 274 148; 7 869;  627; 2 099;1 160 985
35;  Eastern Europe;;923;19 744 557; 13 146;2 175 406;5 436 435; 202 008; 12 498; 1 055; 3 311;11 490 371;11 497 006;7 837 224;7 810 299;7 755 644; 26 925;7 417 490; 5 963;1 460 533;17 363 561;10 902 048;6 461 513; 509 859; 25 516; 3 828; 2 564; 12 370; 1 515; 5 239;7 801 479;5 395 269; 126 416; 75 592; 41 166;2 163 036;11 453 663;10 536 332; 451 241; 102 879; 363 211; 12 498; 4 066; 1 356; 7 076; 36 708; 4 366; 3 311;  15;  171;  869; 410 327
36;  Northern Europe;;924;9 588 814;1 064 189; 696 475;1 565 012; 742 560; 457 405; 7 026; 180 841;4 668 255;4 890 252;4 491 511;3 798 256;4 211 430; 693 255; 388 994; 360 706;4 361 905;4 577 459;2 260 573;2 316 886; 430 382;1 188 599; 556 612; 45 576; 124 410; 177 615; 284 386;2 879 637; 38 217; 365 470; 377 090;1 526 795; 572 065;4 329 929;1 529 268;1 586 970; 552 320; 661 371; 457 405; 240 782; 21 197; 195 426; 338 326; 187 867; 180 841; 6 243;  183;  600; 207 051
37;  Southern Europe;;925;12 004 024; 802 384;1 467 195; 437 808; 423 685;2 214 175;  964; 46 999;6 508 233;6 568 992;5 332 451;4 719 735;5 099 893; 612 716; 491 190; 326 263;3 934 140;7 717 276;5 018 939;2 698 337; 249 797;1 986 283; 144 627; 236 451;1 183 899; 23 942; 397 364;1 144 789; 40 235; 254 133; 169 552; 397 573; 283 296;6 354 161;1 809 979; 419 058;2 868 972;1 256 152;2 214 175; 202 899; 82 080;1 929 196; 154 072; 47 963; 46 999;  187;  259;  518; 102 581
38;  Western Europe;;926;22 248 336;1 254 064;5 647 130;1 435 346;1 083 590; 768 926; 1 550; 42 997;11 573 707;11 682 199;10 125 111;9 012 235;9 901 036;1 112 876;1 310 790; 485 861;9 369 775;11 591 102;6 711 270;4 879 832; 846 127;4 420 147; 334 091; 363 189;3 166 083; 39 386; 517 398;4 999 983; 782 305; 349 474; 734 116; 653 041;2 481 047;11 278 222;3 995 603; 596 007;4 390 778;2 295 834; 768 926; 142 912; 49 386; 576 628; 295 485; 44 547; 42 997; 1 424;  14;  112; 441 026
39; LATIN AMERICA AND THE CARIBBEAN;;904;7 184 113; 14 533; 67 316; 12 146; 192 798;4 357 513;  148; 3 437;2 215 736;2 297 059;4 566 568;4 218 434;4 483 454; 348 134; 855 360; 779 944;2 806 069;3 665 444;2 868 439; 797 005; 359 807; 21 850; 3 167; 7 324; 7 317;  983; 3 059; 264 943;  46; 183 522; 9 276; 12 100; 59 999;1 248 692; 62 376; 48 691; 869 921; 267 704;4 357 513; 703 194; 563 563;3 090 756; 967 044; 3 585; 3 437;  22;  54;  72; 320 486
40;  Caribbean;;915;1 275 731; 2 251; 2 872; 4 808; 12 179; 703 367;  23;  405; 464 604; 466 362; 724 147; 405 644; 717 338; 318 503;  789; 626 831; 535 372; 312 122; 296 341; 15 781; 319 011; 2 634;  935;  169;  383;  342;  805; 19 476;  7; 8 868; 3 311; 4 801; 2 489; 165 537; 3 829; 20 681; 25 314; 115 713; 703 367; 601 238; 17 444; 84 685; 299 067;  428;  405;..;..;  23; 85 222
41;  Central America;;916;1 378 041;  936; 6 610; 4 449; 33 334; 644 805;  6;  785; 640 890; 645 885; 685 930; 684 153; 664 090; 1 777; 3 511; 32 629; 674 087; 654 624; 258 235; 396 389; 3 046; 1 707;  177;  177;  771;  204;  378; 43 622;  6; 31 193; 2 141; 4 443; 5 839; 72 703; 6 532; 7 558; 34 912; 23 701; 644 805; 29 231; 503 647; 111 927; 568 187;  791;  785;  2;  4;..; 46 226
42;  South America;;931;4 530 341; 11 346; 57 834; 2 889; 147 285;3 009 341;  119; 2 247;1 110 242;1 184 812;3 156 491;3 128 637;3 102 026; 27 854; 851 060; 120 484;1 596 610;2 698 698;2 313 863; 384 835; 37 750; 17 509; 2 055; 6 978; 6 163;  437; 1 876; 201 845;  33; 143 461; 3 824; 2 856; 51 671;1 010 452; 52 015; 20 452; 809 695; 128 290;3 009 341; 72 725; 42 472;2 894 144; 99 790; 2 366; 2 247;  20;  50;  49; 189 038
43; NORTHERN AMERICA;;905;45 363 089;1 156 791;1 377 924;3 079 103;8 106 840;21 019 256; 105 321; 125 032;8 121 368;8 630 856;34 460 779;32 580 334;31 898 564;1 880 445; 866 305;5 770 915;11 588 371;30 263 788;20 970 395;9 293 393;1 232 499;1 524 859; 487 572; 64 916; 368 068; 113 013; 491 290;12 195 799; 57 014;4 040 218;4 066 622;3 022 089;1 009 856;6 988 925;2 032 341;1 703 400;1 761 094;1 492 090;21 019 256;5 201 157;13 240 748;2 577 351;1 132 443; 230 353; 125 032; 58 927; 13 112; 33 282;2 271 454
44; OCEANIA ;;909;6 024 021; 260 923; 293 186; 366 499;1 269 193; 102 885; 288 265; 506 154;2 818 826;3 371 053;2 534 878;2 352 041;2 127 510; 182 837; 140 441; 371 184;3 541 011;2 257 198;1 324 802; 932 396; 73 026; 327 671; 93 201; 1 730; 66 748; 156 056; 9 936;1 862 130; 1 800; 538 101; 731 092; 364 699; 226 438;2 658 354; 175 460;1 462 719; 651 557; 368 618; 102 885; 8 152; 14 529; 80 204; 160 472; 794 419; 506 154; 109 243; 24 300; 154 722; 118 090
45;  Australia and New Zealand;;927;5 717 982; 260 831; 290 285; 361 003;1 177 717; 99 412; 220 023; 483 479;2 732 969;3 258 707;2 367 012;2 197 587;1 975 459; 169 425; 139 497; 306 968;3 405 921;2 119 760;1 271 906; 847 854; 73 026; 324 678; 93 109; 1 730; 63 847; 156 056; 9 936;1 765 158; 1 800; 513 174; 664 543; 359 203; 226 438;2 600 184; 175 429;1 460 116; 650 851; 313 788; 99 412; 4 679; 14 529; 80 204; 132 785; 703 502; 483 479; 96 137; 1 996; 121 890; 92 263
46;  Melanesia;;928; 103 881;  34; 2 158; 4 329; 16 965;..; 19 844; 16 663; 35 275; 52 300; 42 968; 32 921; 41 709; 10 047;  723; 12 532; 54 687; 33 178; 14 862; 18 316;..; 2 192;  34;..; 2 158;..;..; 21 294;..; 1 731; 15 234; 4 329;..; 34 073;  31; 2 397;  456; 31 189;..;..;..;..; 1 202; 36 507; 16 663; 7 273; 1 291; 11 280; 8 613
47;  Micronesia;;954; 128 390;..;..;  919; 71 669; 3 473; 22 200;  313; 22 335; 25 937; 94 972; 92 324; 81 741; 2 648;  221; 25 673; 42 480; 78 429; 14 891; 63 538;..;..;..;..;..;..;..; 72 588;..; 21 469; 50 200;  919;..;  11;..;  11;..;..; 3 473; 3 473;..;..; 22 324; 22 513;  313;  675; 20 928;  597; 7 481
48;  Polynesia*;;957; 73 768;  58;  743;  248; 2 842;..; 26 198; 5 699; 28 247; 34 109; 29 926; 29 209; 28 601;  717;..; 26 011; 37 923; 25 831; 23 143; 2 688;..;  801;  58;..;  743;..;..; 3 090;..; 1 727; 1 115;  248;..; 24 086;..;  195;  250; 23 641;..;..;..;..; 4 161; 31 897; 5 699; 5 158;  85; 20 955; 9 733
