;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;  Central and Southern Asia;;921;20 139 825; 5 889; 408 649;13 822 486;1 038 507; 10 255;  210; 1 196;4 321 012;4 333 072;15 275 132;5 888 306;15 033 679;9 386 826;5 775 708; 34 939; 249 607;14 875 034;4 722 984;10 152 050;4 483 563; 6 100; 5 009;..;  211;  64;  816;15 269 431; 462 131; 323 267; 715 240;13 360 355; 408 438;4 283 297;4 208 027; 52 314; 1 878; 21 078; 10 255;  34;..; 10 221; 37 715; 1 406; 1 196;  210;..;..; 531 621
5;  Eastern and South-Eastern Asia;;1832;10 506 212; 8 996; 23 741; 532 492;8 333 318; 342 745; 2 615; 46 608; 330 879; 437 089;9 184 305;7 616 475;5 967 464;1 567 830; 383 792; 215 220;1 359 642;8 252 645;5 369 436;2 883 209; 9 107; 15 766;  528; 3 082; 6 770; 1 294; 4 092;8 882 781; 6 156;3 996 924;4 336 394; 526 336; 16 971; 150 990; 13 491; 96 422; 9 002; 32 075; 342 745;  222; 2 150; 340 373; 179 889; 49 223; 46 608;  373; 2 242;..; 884 818
6;  Latin America and the Caribbean;;1830;6 539 738; 12 546; 71 416; 10 326; 184 930;3 777 576;  153; 3 247;2 192 784;2 286 385;3 966 593;3 671 473;3 896 468; 295 120; 627 327; 701 284;2 799 590;3 113 579;2 453 575; 660 004; 309 234; 20 285; 3 006; 6 927; 7 739; 1 118; 1 495; 258 933;  20; 178 443; 6 487; 10 306; 63 677;1 396 387; 79 727; 48 727;1 003 433; 264 500;3 777 576; 639 148; 511 753;2 626 675; 796 397; 3 400; 3 247;  24;  13;  116; 286 760
7;  Oceania (excluding Australia and New Zealand);;1835; 296 618;  80; 2 737; 5 546; 92 451; 1 606; 68 468; 22 277; 79 730; 106 042; 166 853; 153 335; 146 514; 13 518;  918; 62 605; 128 149; 137 107; 54 884; 82 223;..; 2 817;  80;..; 2 737;..;..; 97 997;..; 29 667; 62 784; 5 546;..; 51 151;  31; 2 624;  668; 47 828; 1 606; 1 606;..;..; 28 579; 90 745; 22 277; 12 474; 20 691; 35 303; 23 723
8;  Australia and New Zealand;;927;5 065 063; 178 757; 244 553; 237 302; 927 636; 87 624; 191 159; 419 804;2 693 870;3 147 363;1 833 342;1 723 622;1 562 286; 109 720; 106 362; 254 954;3 250 620;1 661 962;1 004 243; 657 719; 40 873; 226 043; 65 437; 1 000; 47 286; 107 439; 4 881;1 362 205; 1 050; 358 873; 568 763; 236 252; 197 267;2 582 983; 173 486;1 447 427; 657 698; 304 372; 87 624; 4 269; 13 770; 69 585; 110 887; 610 963; 419 804; 76 516; 1 532; 113 111; 84 358
9;  Europe and Northern America;;1829;97 210 503;3 210 207;10 278 117;10 277 132;9 155 926;20 344 798; 112 493; 364 733;40 567 781;41 437 984;52 873 203;49 507 552;50 080 150;3 365 651;9 549 691;6 370 413;28 281 157;63 488 168;41 859 657;21 628 511;2 521 105;6 913 153;1 137 804; 554 050;3 702 946; 303 567;1 214 786;26 008 229;5 893 187;4 404 656;4 751 270;4 383 945;6 575 171;38 717 957;18 059 753;4 471 303;10 680 499;5 506 402;20 344 798;5 318 085;11 697 896;3 328 817;1 849 824; 477 226; 364 733; 60 727; 14 534; 37 232;2 899 316
10;  Developed regions;;901;103 962 010;3 392 362;10 523 773;10 550 997;11 276 873;20 737 821; 303 652; 796 990;43 358 192;44 694 341;56 246 319;52 762 010;52 846 610;3 484 309;9 656 053;6 627 307;32 273 012;66 057 663;43 572 984;22 484 679;2 561 978;7 143 697;1 203 241; 555 050;3 751 335; 411 006;1 223 065;28 600 308;5 894 237;5 734 323;5 542 550;4 656 760;6 772 438;41 342 533;18 238 874;5 938 923;11 341 484;5 823 252;20 737 821;5 322 354;11 713 406;3 702 061;2 015 659;1 100 642; 796 990; 137 243; 16 066; 150 343;3 021 350
11;  Less developed regions;;902;69 268 575;12 245 652;8 913 281;20 346 697;10 163 981;3 890 879; 71 524; 74 670;9 519 511;9 763 955;55 462 240;30 884 060;52 196 600;24 578 180;13 478 426;1 166 515;5 751 473;43 822 291;16 012 834;27 809 457;15 440 917;14 936 306;4 876 751;1 884 310;2 690 654; 321 306;5 163 285;36 733 305; 568 108;3 618 365;6 545 616;19 778 589;6 222 627;8 385 251;5 581 785; 483 617;1 309 861;1 009 988;3 890 879; 644 133; 515 297;2 731 449;1 134 260; 146 194; 74 670; 13 128; 22 968; 35 428;4 042 380
12; Less developed regions, excluding least developed countries;;934;59 204 627;5 565 555;8 370 784;19 497 273;9 196 493;3 869 885; 67 044; 72 428;9 369 276;9 600 886;46 407 852;28 410 431;43 346 102;17 997 421;11 025 256;1 051 347;5 544 710;39 913 558;15 399 929;24 513 629;10 339 894;7 754 980;1 759 038; 562 190;2 189 425; 286 113;2 958 214;34 875 125; 533 533;3 403 075;5 793 418;18 963 740;6 181 359;8 279 828;5 580 308; 442 711;1 294 377; 962 432;3 869 885; 639 292; 514 776;2 715 817;1 089 448; 139 472; 72 428; 11 031; 20 920; 35 093;3 195 889
13; Less developed regions, excluding China;;948;65 850 628;12 245 652;8 913 281;20 309 651;7 318 716;3 863 103; 71 524; 63 653;9 452 757;9 672 312;52 566 025;27 997 190;51 472 219;24 568 835;13 470 720;1 158 359;5 508 073;41 077 833;13 733 859;27 343 974;15 440 917;14 936 306;4 876 751;1 884 310;2 690 654; 321 306;5 163 285;33 850 994; 568 108;1 369 562;5 949 154;19 741 543;6 222 627;8 358 771;5 580 774; 465 575;1 307 316;1 005 106;3 863 103; 644 133; 515 297;2 703 673;1 093 986; 135 177; 63 653; 13 128; 22 968; 35 428;3 612 291
14;  Least developed countries;;941;10 063 948;6 680 097; 542 497; 849 424; 967 488; 20 994; 4 480; 2 242; 150 235; 163 069;9 054 388;2 473 629;8 850 498;6 580 759;2 453 170; 115 168; 206 763;3 908 733; 612 905;3 295 828;5 101 023;7 181 326;3 117 713;1 322 120; 501 229; 35 193;2 205 071;1 858 180; 34 575; 215 290; 752 198; 814 849; 41 268; 105 423; 1 477; 40 906; 15 484; 47 556; 20 994; 4 841;  521; 15 632; 44 812; 6 722; 2 242; 2 097; 2 048;  335; 846 491
15;  Land-locked Developing Countries (LLDC);;1636;11 503 826;2 971 680;1 425 025;1 267 336; 128 555; 231 275;  86;  593;4 713 692;4 718 563;6 019 679;3 226 758;5 985 680;2 792 921;2 323 951; 2 923; 169 874;8 186 466;5 439 397;2 747 069;2 381 786;3 394 828;1 471 956; 692 962; 423 148; 62 788; 743 974;2 397 768; 503 553; 113 380; 15 175; 763 783;1 001 877;4 699 742;4 499 220; 44 125; 110 840; 45 557; 231 275; 1 013; 12 826; 217 436; 13 950;  679;  593;  4;..;  82; 765 584
16;  Small island developing States (SIDS);;1637;3 287 168; 49 357; 59 714; 319 169;1 231 502; 700 455; 66 996; 29 713; 586 941; 623 030;2 420 817;2 019 730;2 066 763; 401 087; 3 637; 646 102; 780 420;1 923 932;1 440 040; 483 892; 309 108; 83 724; 17 084; 7 621; 34 367; 1 218; 23 434;1 576 018;  4; 366 477; 865 025; 319 165; 25 347; 242 505; 5 676; 30 988; 37 849; 167 992; 700 455; 546 700; 49 456; 104 299; 344 436; 96 709; 29 713; 11 127; 20 691; 35 178; 243 321
17;  High-income countries;;1503;101 641 715;3 569 702;11 089 566;11 266 650;16 600 531;21 281 197; 337 263; 819 331;32 896 823;34 286 380;63 574 683;57 520 455;57 629 274;6 054 228;3 035 364;6 924 516;32 591 310;61 605 235;37 343 770;24 261 465;3 605 879;8 703 335;1 357 702; 563 150;5 133 633; 424 011;1 224 839;33 823 114; 731 380;8 287 543;8 312 988;10 535 270;5 955 933;30 444 071;8 638 562;5 694 327;10 314 486;5 796 696;21 281 197;5 563 828;11 742 187;3 975 182;2 452 752;1 156 594; 819 331; 143 920; 32 853; 160 490;3 780 652
18;  Middle-income countries;;1517;63 873 275;7 078 232;7 447 765;19 514 946;4 803 627;3 247 925; 36 001; 49 281;19 476 932;19 664 331;41 990 378;24 599 410;41 296 496;17 390 968;18 628 554; 703 822;5 158 454;45 824 987;21 861 498;23 963 489;10 500 918;7 893 888;2 470 178;1 017 528; 815 656; 282 512;3 308 014;30 950 682;5 675 100;1 033 318;3 770 309;13 839 846;6 632 109;18 792 072;14 925 695; 720 167;2 328 817; 817 393;3 247 925; 340 109; 485 995;2 421 821; 684 860; 85 282; 49 281; 4 968; 6 181; 24 852;2 218 566
19; Upper-middle-income countries;;1502;35 822 210;1 149 081;6 388 898;7 678 783;3 421 192;3 083 977; 27 650; 30 231;13 082 508;13 229 930;21 632 390;16 888 112;21 334 683;4 744 278;11 278 793; 592 253;4 360 190;26 911 162;14 702 672;12 208 490;3 587 583;1 655 720; 587 104; 192 658; 506 639; 238 127; 131 192;16 982 234;4 955 343; 603 312;2 817 880;2 723 440;5 882 259;12 518 007;8 963 285; 536 236;2 298 730; 719 756;3 083 977; 336 459; 411 741;2 335 777; 564 501; 57 881; 30 231; 1 883; 1 395; 24 372; 959 890
20; Lower-middle-income countries;;1501;28 051 065;5 929 151;1 058 867;11 836 163;1 382 435; 163 948; 8 351; 19 050;6 394 424;6 434 401;20 357 988;7 711 298;19 961 813;12 646 690;7 349 761; 111 569; 798 264;18 913 825;7 158 826;11 754 999;6 913 335;6 238 168;1 883 074; 824 870; 309 017; 44 385;3 176 822;13 968 448; 719 757; 430 006; 952 429;11 116 406; 749 850;6 274 065;5 962 410; 183 931; 30 087; 97 637; 163 948; 3 650; 74 254; 86 044; 120 359; 27 401; 19 050; 3 085; 4 786;  480;1 258 676
21;  Low-income countries;;1500;7 322 731;4 923 404; 898 830; 115 965; 34 217; 11 916;..;  260; 313 976; 314 825;5 983 743;1 446 625;5 959 264;4 537 118;1 469 424; 45 161; 75 969;2 366 651; 338 231;2 028 420;3 855 948;5 415 746;2 188 525; 858 682; 492 342; 25 769;1 850 428; 556 670; 55 865; 30 248; 3 969; 60 100; 406 488; 303 210; 256 402; 6 395; 7 286; 33 127; 11 916; 4 766;  521; 6 629; 10 766;  260;  260;..;..;..;1 024 163
22; AFRICA;;903;15 051 677;11 962 238;1 329 992; 70 882; 71 783; 9 501;  76; 6 381; 573 820; 583 091;13 441 582;2 749 969;13 408 901;10 691 613;5 133 693; 143 545; 644 200;4 266 229; 429 925;3 836 304;8 940 988;12 753 079;4 636 115;1 864 597; 790 841; 306 041;5 155 485; 681 816; 1 955; 38 080; 33 703; 68 927; 539 151; 533 653; 30 104; 182 876; 72 550; 248 123; 9 501; 2 917;  965; 5 619; 40 167; 6 457; 6 381;  45;  22;  9;1 027 004
23;  Eastern Africa;;910;4 847 119;3 938 090; 416 961; 27 246; 12 017;  50;..;  134; 118 980; 119 445;4 394 033; 334 668;4 383 785;4 059 365;1 861 486; 64 821; 133 729; 855 534; 57 050; 798 484;3 517 115;4 354 686;3 122 941; 756 743; 416 596; 50 491; 7 915; 39 628;..; 10 875; 1 142; 27 246;  365; 115 836;  337; 29 243; 3 769; 82 487;  50;  50;..;..; 3 144;  134;  134;..;..;..; 333 641
24;  Middle Africa;;911;1 775 284;1 407 982; 78 645;..;  837;  266;..;  16; 53 746; 53 778;1 487 714; 277 609;1 487 076;1 210 105; 461 798; 15 699; 52 409; 703 797; 57 826; 645 971; 785 286;1 484 711; 278 904; 865 771; 76 729; 3 770; 259 537; 2 753;..;  837;..;..; 1 916; 52 117; 1 487;  37; 8 649; 41 944;  266;  266;..;..; 1 629;  16;  16;..;..;..; 233 792
25;  Northern Africa;;912;1 900 448; 871 041; 796 787; 13 406; 36 508; 1 318;..;  963; 109 090; 111 636;1 717 477; 839 170;1 712 905; 878 307; 271 776; 6 427; 153 635; 612 396; 159 837; 452 559; 897 171;1 147 120; 723 706; 106 674; 276 079;  836; 39 825; 570 622; 1 955; 6 987; 29 521; 11 451; 520 708; 92 257; 15 172; 12 036; 18 803; 46 246; 1 318;  24;  730;  564; 16 833;  963;  963;..;..;..; 71 335
26;  Southern Africa;;913;1 267 695; 865 507; 10 966; 28 528; 20 884; 6 552;  76; 5 249; 256 558; 262 692; 931 628; 395 125; 915 568; 536 503; 395 983; 7 975; 267 575; 613 504; 132 880; 480 624; 312 996; 870 591; 508 352; 91 744; 5 084; 250 697; 14 714; 55 294;..; 17 884; 3 000; 28 528; 5 882; 245 022; 11 957; 137 616; 38 058; 57 391; 6 552; 2 348;  229; 3 975; 11 536; 5 325; 5 249;  45;  22;  9; 73 375
27;  Western Africa;;914;5 261 131;4 879 618; 26 633; 1 702; 1 537; 1 315;..;  19; 35 446; 35 540;4 910 730; 903 397;4 909 567;4 007 333;2 142 650; 48 623; 36 852;1 480 998; 22 332;1 458 666;3 428 420;4 895 971; 2 212; 43 665; 16 353;  247;4 833 494; 13 519;..; 1 497;  40; 1 702; 10 280; 28 421; 1 151; 3 944; 3 271; 20 055; 1 315;  229;  6; 1 080; 7 025;  19;  19;..;..;..; 314 861
28; ASIA;;935;49 066 986; 274 186;7 510 239;20 296 506;11 008 128; 407 595; 2 827; 55 218;6 769 718;6 897 431;39 426 986;25 840 119;35 948 891;13 586 867;7 716 488; 261 021;2 920 769;37 212 909;13 783 534;23 429 375;6 190 695;2 164 626; 237 550; 12 786;1 890 440; 14 147; 9 703;36 924 433; 566 133;4 342 969;6 665 159;19 730 373;5 619 799;6 445 653;5 477 558; 269 583; 236 497; 462 015; 407 595;  462; 4 319; 402 814; 324 065; 58 045; 55 218;  585; 2 242;..;2 742 569
29;  Central Asia;;5500;5 189 082;  53; 146 986; 446 650; 73 063;  26;..;  117;4 235 932;4 236 049; 666 778; 647 823; 664 700; 18 955; 558 829;  26; 60 000;4 708 175;3 967 180; 740 995; 134 652;  191;  27;..;  138;..;  26; 666 561; 423 916; 72 858;  205; 22 734; 146 848;4 235 587;4 206 342; 12 942;..; 16 303;  26;  26;..;..;  345;  117;  117;..;..;..; 286 255
30;  Eastern Asia;;906;5 393 004; 4 188; 1 236; 99 728;4 238 259; 335 310;..; 26 005; 204 841; 260 777;4 648 790;4 618 105;2 027 584; 30 685; 17 609; 10 096;1 043 402;3 866 103;3 136 913; 729 190;  62; 5 291;..;..; 1 103;  442; 3 746;4 338 120; 6 156;3 355 873; 882 386; 93 572;  133; 79 133; 12 998; 39 986; 5 851; 20 298; 335 310;..; 1 740; 333 570; 125 708; 26 005; 26 005;..;..;..; 483 437
31;  South-Eastern Asia;;920;5 113 208; 4 808; 22 505; 432 764;4 095 059; 7 435; 2 615; 20 603; 126 038; 176 312;4 535 515;2 998 370;3 939 880;1 537 145; 366 183; 205 124; 316 240;4 386 542;2 232 523;2 154 019; 9 045; 10 475;  528; 3 082; 5 667;  852;  346;4 544 661;..; 641 051;3 454 008; 432 764; 16 838; 71 857;  493; 56 436; 3 151; 11 777; 7 435;  222;  410; 6 803; 54 181; 23 218; 20 603;  373; 2 242;..; 401 381
32;  Southern Asia;;5501;14 950 743; 5 836; 261 663;13 375 836; 965 444; 10 229;  210; 1 079; 85 080; 97 023;14 608 354;5 240 483;14 368 979;9 367 871;5 216 879; 34 913; 189 607;10 166 859; 755 804;9 411 055;4 348 911; 5 909; 4 982;..;  73;  64;  790;14 602 870; 38 215; 250 409; 715 035;13 337 621; 261 590; 47 710; 1 685; 39 372; 1 878; 4 775; 10 229;  8;..; 10 221; 37 370; 1 289; 1 079;  210;..;..; 245 366
33;  Western Asia;;922;18 420 949; 259 301;7 077 849;5 941 528;1 636 303; 54 595;  2; 7 414;2 117 827;2 127 270;14 967 549;12 335 338;14 947 748;2 632 211;1 556 988; 10 862;1 311 520;14 085 230;3 691 114;10 394 116;1 698 025;2 142 760; 232 013; 9 704;1 883 459; 12 789; 4 795;12 772 221; 97 846; 22 778;1 613 525;5 843 682;5 194 390;2 011 366;1 256 040; 120 847; 225 617; 408 862; 54 595;  206; 2 169; 52 220; 106 461; 7 416; 7 414;  2;..;..;1 326 130
34; EUROPE;;908;56 858 793;2 387 564;9 095 782;7 869 128;1 986 278;1 699 981; 9 236; 250 612;32 326 906;32 700 393;22 925 094;21 064 593;22 353 010;1 860 501;8 851 588; 963 811;16 672 459;37 383 312;23 474 747;13 908 565;1 554 885;5 797 189; 816 479; 516 229;3 409 625; 200 623; 854 233;15 541 563;5 847 995; 832 832;1 153 446;2 021 133;5 686 157;31 590 963;16 098 760;2 692 350;8 849 398;3 950 455;1 699 981; 441 759; 102 356;1 155 866; 735 943; 259 848; 250 612; 6 089;  789; 2 358;1 233 306
35;  Eastern Europe;;923;20 435 785; 11 623;2 284 139;5 258 766; 173 336; 12 162; 1 371; 2 844;12 224 692;12 229 655;7 739 278;7 714 376;7 659 426; 24 902;7 257 944; 6 117;1 437 798;18 063 137;11 506 707;6 556 430; 467 564; 22 826; 3 499; 2 150; 11 203; 1 254; 4 720;7 705 038;5 219 532; 119 048; 54 288; 39 234;2 272 936;12 195 441;11 280 907; 465 396; 79 377; 369 761; 12 162; 3 858; 1 032; 7 272; 29 251; 4 215; 2 844;  12;  279; 1 080; 466 852
36;  Northern Europe;;924;7 900 973; 829 519; 550 757;1 241 249; 602 490; 410 637; 5 867; 173 869;3 875 128;4 091 041;3 598 475;3 076 799;3 351 488; 521 676; 268 102; 354 247;3 552 080;3 820 889;1 983 530;1 837 359; 302 469; 928 815; 456 553; 26 709; 99 296; 150 075; 196 182;2 295 200; 33 388; 326 327; 276 163;1 207 861; 451 461;3 564 201;1 090 507;1 426 435; 446 082; 601 177; 410 637; 244 318; 16 753; 149 566; 310 927; 179 736; 173 869; 5 108;  184;  575; 211 457
37;  Southern Europe;;925;7 681 658; 611 719;1 020 922; 228 345; 229 287; 718 500;  974; 38 256;4 619 133;4 668 731;2 798 405;2 343 568;2 713 253; 454 837; 215 533; 222 720;2 499 720;4 786 022;3 245 314;1 540 708; 181 213;1 370 522; 124 826; 222 195; 758 803; 19 932; 244 766; 719 751; 32 855; 103 723; 125 564; 195 490; 262 119;4 497 622; 491 125; 252 073;2 816 043; 938 381; 718 500; 117 839; 44 113; 556 548; 121 511; 39 230; 38 256;  192;  320;  462; 214 522
38;  Western Europe;;926;20 840 377; 934 703;5 239 964;1 140 768; 981 165; 558 682; 1 024; 35 643;11 607 953;11 710 966;8 788 936;7 929 850;8 628 843; 859 086;1 110 009; 380 727;9 182 861;10 713 264;6 739 196;3 974 068; 603 639;3 475 026; 231 601; 265 175;2 540 323; 29 362; 408 565;4 821 574; 562 220; 283 734; 697 431; 578 548;2 699 641;11 333 699;3 236 221; 548 446;5 507 896;2 041 136; 558 682; 75 744; 40 458; 442 480; 274 254; 36 667; 35 643;  777;  6;  241; 340 475
39; LATIN AMERICA AND THE CARIBBEAN;;904;6 539 738; 12 546; 71 416; 10 326; 184 930;3 777 576;  153; 3 247;2 192 784;2 286 385;3 966 593;3 671 473;3 896 468; 295 120; 627 327; 701 284;2 799 590;3 113 579;2 453 575; 660 004; 309 234; 20 285; 3 006; 6 927; 7 739; 1 118; 1 495; 258 933;  20; 178 443; 6 487; 10 306; 63 677;1 396 387; 79 727; 48 727;1 003 433; 264 500;3 777 576; 639 148; 511 753;2 626 675; 796 397; 3 400; 3 247;  24;  13;  116; 286 760
40;  Caribbean;;915;1 216 872; 2 220; 3 286; 4 136; 12 791; 647 814;  26;  381; 474 449; 476 842; 668 261; 399 362; 660 358; 268 899;  877; 561 634; 546 203; 307 768; 293 553; 14 215; 269 270; 2 607;  880;  121;  387;  469;  750; 19 826;  4; 10 669; 2 122; 4 132; 2 899; 174 206; 5 418; 21 383; 32 202; 115 203; 647 814; 540 565; 18 786; 88 463; 300 243;  407;  381;..;..;  26; 71 769
41;  Central America;;916;1 107 577;  673; 7 338; 3 694; 30 627; 568 796;  5;  728; 479 845; 485 751; 605 955; 604 678; 586 613; 1 277; 3 507; 32 389; 518 835; 568 911; 222 949; 345 962; 3 909; 1 425;  123;  121;  752;  179;  250; 40 907;  5; 28 960; 1 667; 3 689; 6 586; 76 055; 7 237; 7 705; 37 638; 23 475; 568 796; 29 325; 450 936; 88 535; 403 790;  733;  728;  1;  4;..; 15 871
42;  South America;;931;4 215 289; 9 653; 60 792; 2 496; 141 512;2 560 966;  122; 2 138;1 238 490;1 323 792;2 692 377;2 667 433;2 649 497; 24 944; 622 943; 107 261;1 734 552;2 236 900;1 937 073; 299 827; 36 055; 16 253; 2 003; 6 685; 6 600;  470;  495; 198 200;  11; 138 814; 2 698; 2 485; 54 192;1 146 126; 67 072; 19 639; 933 593; 125 822;2 560 966; 69 258; 42 031;2 449 677; 92 364; 2 260; 2 138;  23;  9;  90; 199 120
43; NORTHERN AMERICA;;905;40 351 710; 822 643;1 182 335;2 408 004;7 169 648;18 644 817; 103 257; 114 121;8 240 875;8 737 591;29 948 109;28 442 959;27 727 140;1 505 150; 698 103;5 406 602;11 608 698;26 104 856;18 384 910;7 719 946; 966 220;1 115 964; 321 325; 37 821; 293 321; 102 944; 360 553;10 466 666; 45 192;3 571 824;3 597 824;2 362 812; 889 014;7 126 994;1 960 993;1 778 953;1 831 101;1 555 947;18 644 817;4 876 326;11 595 540;2 172 951;1 113 881; 217 378; 114 121; 54 638; 13 745; 34 874;1 666 010
44; OCEANIA ;;909;5 361 681; 178 837; 247 290; 242 848;1 020 087; 89 230; 259 627; 442 081;2 773 600;3 253 405;2 000 195;1 876 957;1 708 800; 123 238; 107 280; 317 559;3 378 769;1 799 069;1 059 127; 739 942; 40 873; 228 860; 65 517; 1 000; 50 023; 107 439; 4 881;1 460 202; 1 050; 388 540; 631 547; 241 798; 197 267;2 634 134; 173 517;1 450 051; 658 366; 352 200; 89 230; 5 875; 13 770; 69 585; 139 466; 701 708; 442 081; 88 990; 22 223; 148 414; 108 081
45;  Australia and New Zealand;;927;5 065 063; 178 757; 244 553; 237 302; 927 636; 87 624; 191 159; 419 804;2 693 870;3 147 363;1 833 342;1 723 622;1 562 286; 109 720; 106 362; 254 954;3 250 620;1 661 962;1 004 243; 657 719; 40 873; 226 043; 65 437; 1 000; 47 286; 107 439; 4 881;1 362 205; 1 050; 358 873; 568 763; 236 252; 197 267;2 582 983; 173 486;1 447 427; 657 698; 304 372; 87 624; 4 269; 13 770; 69 585; 110 887; 610 963; 419 804; 76 516; 1 532; 113 111; 84 358
46;  Melanesia;;928; 95 281;  28; 2 027; 4 306; 13 403;..; 21 652; 16 506; 29 890; 46 693; 41 119; 31 107; 39 854; 10 012;  679; 14 380; 50 679; 29 778; 11 659; 18 119;..; 2 055;  28;..; 2 027;..;..; 17 709;..; 1 665; 11 738; 4 306;..; 28 637;  31; 2 434;  428; 25 744;..;..;..;..; 1 253; 38 158; 16 506; 7 180; 1 632; 12 840; 7 469
47;  Micronesia;;954; 130 186;..;..; 1 022; 76 698; 1 606; 20 144;  319; 22 666; 26 567; 95 888; 93 099; 77 944; 2 789;  239; 21 750; 41 194; 81 261; 19 544; 61 717;..;..;..;..;..;..;..; 77 720;..; 26 534; 50 164; 1 022;..;  13;..;  13;..;..; 1 606; 1 606;..;..; 22 653; 20 463;  319;  563; 18 971;  610; 7 731
48;  Polynesia*;;957; 71 151;  52;  710;  218; 2 350;..; 26 672; 5 452; 27 174; 32 782; 29 846; 29 129; 28 716;  717;..; 26 475; 36 276; 26 068; 23 681; 2 387;..;  762;  52;..;  710;..;..; 2 568;..; 1 468;  882;  218;..; 22 501;..;  177;  240; 22 084;..;..;..;..; 4 673; 32 124; 5 452; 4 731;  88; 21 853; 8 523
