Pais,Año,PIB per cápita (usd),Población debajo del umbral de pobreza internacional,Tasa de empleo,Mortalidad infantil por cada 1000 nacimientos,Tasa alfabetización mayores de 15,Promedio años de estudio personas economicamente activas mayores de 15
Antigua y Barbuda,2012,"14,696",,2.32,7.30,,
Antigua y Barbuda,2013,"14,476",,1.76,6.90,,
Antigua y Barbuda,2014,"14,907",,1.21,6.60,,
Antigua y Barbuda,2015,"15,357",,0.67,6.30,,
Antigua y Barbuda,2016,"16,076",,0.18,6.00,,
Antigua y Barbuda,2017,"16,490",,0.00,5.80,,
Antigua y Barbuda,2018,"17,519",,0.00,5.60,,
Antigua y Barbuda,2019,"18,181",,0.00,5.40,,
Antigua y Barbuda,2020,"14,902",,0.00,5.20,,
Argentina,1990,"7,549",,0.18,25.00,,
Argentina,1991,"8,230",,-0.26,24.30,96.0,
Argentina,1992,"8,896",,-0.39,23.60,,
Argentina,1993,"9,278",,-0.48,22.80,,
Argentina,1994,"9,688",,-0.54,22.10,,
Argentina,1995,"9,290",,-0.56,21.40,,
Argentina,1996,"9,680",,-0.58,20.70,,
Argentina,1997,"10,341",,-0.58,20.10,,
Argentina,1998,"10,615",,-0.56,19.40,,
Argentina,1999,"10,138",,-0.55,18.80,,
Argentina,2000,"9,945",,-0.61,18.20,,
Argentina,2001,"9,403",,-0.61,17.60,97.2,
Argentina,2002,"8,289",,-0.60,17.00,,
Argentina,2003,"8,929",,-0.58,16.50,,
Argentina,2004,"9,636",,-0.58,15.90,,
Argentina,2005,"10,382",,-0.56,15.40,,
Argentina,2006,"11,102",,-0.50,14.90,,
Argentina,2007,"11,980",,-0.45,14.40,,
Argentina,2008,"12,343",,-0.31,14.00,,
Argentina,2009,"11,496",,-0.19,13.50,,
Argentina,2010,"12,532",,-0.12,13.10,,
Argentina,2011,"13,149",,-0.02,12.70,,
Argentina,2012,"12,880",,0.07,12.20,,
Argentina,2013,"13,055",,0.13,11.80,,
Argentina,2014,"12,597",,0.14,11.50,,
Argentina,2015,"12,812",,0.13,11.10,,
Argentina,2016,"12,427",,0.12,10.70,,
Argentina,2017,"12,665",,0.11,10.40,,
Argentina,2018,"12,234",,0.11,10.10,,
Argentina,2019,"11,900",,0.10,9.80,,
Argentina,2020,"10,653",,0.05,9.50,,
Bahamas,1990,"31,563",,0.89,19.90,,
Bahamas,1991,"29,652",,1.51,19.00,,
Bahamas,1992,"27,921",,1.55,18.20,,
Bahamas,1993,"27,404",,1.56,17.30,,
Bahamas,1994,"27,710",,1.56,16.50,,
Bahamas,1995,"28,382",,1.55,15.80,,
Bahamas,1996,"29,067",,1.50,15.10,,
Bahamas,1997,"29,983",,1.45,14.60,,
Bahamas,1998,"30,880",,1.40,14.20,,
Bahamas,1999,"32,580",,1.33,14.00,,
Bahamas,2000,"33,441",,2.60,14.00,,
Bahamas,2001,"33,840",,0.89,14.00,,
Bahamas,2002,"34,297",,1.90,14.20,,
Bahamas,2003,"33,413",,2.82,14.30,,
Bahamas,2004,"33,256",,3.01,14.60,,
Bahamas,2005,"33,921",,2.30,14.50,,
Bahamas,2006,"34,291",,4.94,14.40,,
Bahamas,2007,"34,301",,4.85,14.20,,
Bahamas,2008,"33,033",,4.08,13.90,,
Bahamas,2009,"31,198",,4.40,13.70,,
Bahamas,2010,"31,237",,5.11,13.40,,
Bahamas,2011,"31,038",,3.67,13.10,,
Bahamas,2012,"31,652",,2.75,12.80,,
Bahamas,2013,"30,467",,2.60,12.60,,
Bahamas,2014,"30,751",,2.57,12.30,,
Bahamas,2015,"30,772",,2.55,12.40,,
Bahamas,2016,"30,283",,2.53,11.80,,
Bahamas,2017,"30,814",,2.51,11.50,,
Bahamas,2018,"31,484",,2.49,11.20,,
Bahamas,2019,"31,042",,2.48,14.60,,
Bahamas,2020,"23,633",,0.00,10.60,,
Barbados,1990,"15,997",,-4.99,16.30,,
Barbados,1991,"15,341",,-2.48,15.70,,
Barbados,1992,"14,226",,-2.38,15.00,,
Barbados,1993,"14,355",,-2.52,14.50,,
Barbados,1994,"14,859",,-2.62,14.00,,
Barbados,1995,"15,125",,-2.86,13.70,,
Barbados,1996,"15,695",,-3.07,13.50,,
Barbados,1997,"16,414",,-3.05,13.40,,
Barbados,1998,"17,002",,-2.86,13.40,,
Barbados,1999,"17,018",,-2.22,13.50,,
Barbados,2000,"17,378",,-3.14,13.70,,
Barbados,2001,"16,890",,-0.39,13.90,,
Barbados,2002,"16,933",,-0.45,14.00,,
Barbados,2003,"17,203",,-0.54,14.20,,
Barbados,2004,"17,384",,-0.59,14.20,,
Barbados,2005,"18,012",,-0.64,14.20,,
Barbados,2006,"19,454",,-0.59,14.10,,
Barbados,2007,"19,785",,0.07,14.00,,
Barbados,2008,"19,824",,1.09,13.80,,
Barbados,2009,"18,747",,0.27,13.70,,
Barbados,2010,"18,244",,-0.13,13.50,,
Barbados,2011,"18,065",,-0.20,13.40,,
Barbados,2012,"17,942",,-0.23,13.30,,
Barbados,2013,"17,637",,-0.23,13.20,,
Barbados,2014,"17,584",,-0.23,12.90,,
Barbados,2015,"17,980",,-0.23,12.70,,
Barbados,2016,"18,402",,-0.23,12.40,,
Barbados,2017,"18,446",,-0.23,12.10,,
Barbados,2018,"18,224",,-0.23,11.80,,
Barbados,2019,"18,168",,-0.23,11.40,,
Barbados,2020,"15,721",,0.00,11.10,,
Belice,1990,"4,290",,-9.77,31.20,,
Belice,1991,"4,682",,-9.06,29.50,70.3,
Belice,1992,"5,141",,-8.55,27.90,,
Belice,1993,"5,354",,-7.82,26.40,,
Belice,1994,"5,249",,-4.03,25.10,,
Belice,1995,"5,148",,1.34,24.00,,
Belice,1996,"5,048",,6.49,22.90,,
Belice,1997,"5,054",,9.57,22.00,,
Belice,1998,"5,068",,9.61,21.30,,
Belice,1999,"5,338",,8.47,20.40,,
Belice,2000,"5,840",,7.00,19.90,,
Belice,2001,"5,942",,7.74,19.60,80.9,
Belice,2002,"6,054",,7.75,18.60,,
Belice,2003,"6,418",,8.37,18.20,,
Belice,2004,"6,516",,8.60,17.90,,
Belice,2005,"6,462",,8.59,17.70,,
Belice,2006,"6,563",,9.04,17.40,,
Belice,2007,"6,554",,9.15,17.10,,
Belice,2008,"6,471",,8.88,16.90,,
Belice,2009,"6,268",,8.62,16.40,,
Belice,2010,"6,191",,5.12,16.00,,
Belice,2011,"6,045",,4.81,15.50,,
Belice,2012,"6,136",,4.55,15.00,,
Belice,2013,"6,273",,4.37,14.30,,
Belice,2014,"6,388",,4.13,13.70,,
Belice,2015,"6,464",,3.80,13.00,,
Belice,2016,"6,341",,3.50,12.30,,
Belice,2017,"6,110",,3.27,11.70,,
Belice,2018,"6,059",,3.11,11.00,,
Belice,2019,"6,217",,3.00,10.50,,
Belice,2020,"5,305",,0.00,10.00,,
Bolivia (Estado Plurinacional de),1990,"1,819",,-3.08,92.30,,
Bolivia (Estado Plurinacional de),1991,"1,876",,-3.17,88.90,,
Bolivia (Estado Plurinacional de),1992,"1,868",,-3.24,85.60,80.0,
Bolivia (Estado Plurinacional de),1993,"1,909",,-3.27,82.00,,
Bolivia (Estado Plurinacional de),1994,"1,960",,-3.18,78.50,,
Bolivia (Estado Plurinacional de),1995,"2,013",,-3.01,74.90,,
Bolivia (Estado Plurinacional de),1996,"2,062",,-2.81,71.40,,
Bolivia (Estado Plurinacional de),1997,"2,124",,-2.61,68.10,,
Bolivia (Estado Plurinacional de),1998,"2,191",,-2.41,64.80,,
Bolivia (Estado Plurinacional de),1999,"2,161",,-2.20,61.60,,
Bolivia (Estado Plurinacional de),2000,"2,175",68.20,-2.06,58.60,,7.4
Bolivia (Estado Plurinacional de),2001,"2,173",71.80,-1.89,55.90,86.7,7.4
Bolivia (Estado Plurinacional de),2002,"2,188",70.10,-1.82,53.30,,7.2
Bolivia (Estado Plurinacional de),2003,"2,209",,-1.71,50.90,,7.4
Bolivia (Estado Plurinacional de),2004,"2,261",71.20,-1.65,48.70,,7.8
Bolivia (Estado Plurinacional de),2005,"2,321",67.70,-1.56,46.60,,8.1
Bolivia (Estado Plurinacional de),2006,"2,390",71.00,-1.48,44.60,,8.4
Bolivia (Estado Plurinacional de),2007,"2,456",68.50,-1.41,42.60,90.7,8.3
Bolivia (Estado Plurinacional de),2008,"2,562",71.40,-1.36,40.60,90.7,8.6
Bolivia (Estado Plurinacional de),2009,"2,603",71.60,-1.30,38.60,91.2,8.9
Bolivia (Estado Plurinacional de),2010,"2,665",,-1.23,36.70,,9.2
Bolivia (Estado Plurinacional de),2011,"2,757",72.30,-1.16,34.90,92.2,9.5
Bolivia (Estado Plurinacional de),2012,"2,850",69.20,-1.10,33.40,94.5,8.9
Bolivia (Estado Plurinacional de),2013,"2,995",69.60,-1.06,32.30,,9.2
Bolivia (Estado Plurinacional de),2014,"3,108",71.90,-1.00,31.30,,9.2
Bolivia (Estado Plurinacional de),2015,"3,208",66.70,-0.95,30.60,92.5,9.3
Bolivia (Estado Plurinacional de),2016,"3,294",70.40,-0.89,30.00,,9.4
Bolivia (Estado Plurinacional de),2017,"3,380",67.60,-0.84,29.50,,9.8
Bolivia (Estado Plurinacional de),2018,"3,471",67.30,-0.80,29.00,,9.9
Bolivia (Estado Plurinacional de),2019,"3,497",70.30,-0.76,28.40,,
Bolivia (Estado Plurinacional de),2020,"3,149",67.20,-0.39,27.60,93.9,
Brasil,1990,"6,558",,0.04,52.60,,
Brasil,1991,"6,512",,-0.20,50.40,,
Brasil,1992,"6,371",,-0.13,48.10,,
Brasil,1993,"6,577",,-0.14,45.70,,
Brasil,1994,"6,852",,-0.07,43.20,,
Brasil,1995,"7,030",,-0.16,40.70,,
Brasil,1996,"7,072",,-0.15,38.30,,
Brasil,1997,"7,202",,-0.12,36.10,,
Brasil,1998,"7,100",,-0.13,33.90,,
Brasil,1999,"7,017",,-0.15,31.90,,
Brasil,2000,"7,220",,-0.01,30.00,86.4,
Brasil,2001,"7,225",64.30,0.02,28.20,,7.8
Brasil,2002,"7,352",65.40,0.03,26.40,,8.0
Brasil,2003,"7,348",65.00,-0.09,24.70,,8.2
Brasil,2004,"7,683",66.40,-0.03,23.20,88.6,8.3
Brasil,2005,"7,841",67.00,-0.23,21.70,,8.4
Brasil,2006,"8,064",67.40,-0.18,20.40,89.6,8.7
Brasil,2007,"8,466",67.40,-0.16,19.20,90.0,8.8
Brasil,2008,"8,810",68.30,-0.18,18.20,90.0,9.0
Brasil,2009,"8,715",67.70,-0.15,17.30,90.3,9.2
Brasil,2010,"9,284",,0.09,16.50,90.4,9.4
Brasil,2011,"9,564",66.90,0.17,15.90,91.4,9.7
Brasil,2012,"9,660",67.20,0.22,15.30,91.3,9.8
Brasil,2013,"9,864",66.70,0.17,14.80,91.5,9.9
Brasil,2014,"9,829",67.50,0.12,14.40,91.7,10.0
Brasil,2015,"9,401",64.40,0.02,14.10,92.0,10.5
Brasil,2016,"9,020",62.10,0.40,13.90,92.8,10.6
Brasil,2017,"9,067",61.70,0.27,13.70,93.1,10.8
Brasil,2018,"9,155",62.20,0.32,13.50,93.2,10.9
Brasil,2019,"9,197",63.10,0.33,13.30,,11.2
Brasil,2020,"8,836",57.40,0.27,13.10,,
Chile,1990,"5,866",,-0.39,16.20,,
Chile,1991,"6,231",,-0.16,14.40,,
Chile,1992,"6,885",,0.00,13.80,94.3,
Chile,1993,"7,252",,0.09,12.60,,
Chile,1994,"7,551",,0.14,11.60,,
Chile,1995,"8,234",,0.17,10.70,,
Chile,1996,"8,725",,0.20,11.00,,
Chile,1997,"9,247",,0.24,10.10,,
Chile,1998,"9,513",,0.28,10.70,,
Chile,1999,"9,375",,0.33,10.60,,
Chile,2000,"9,728",54.00,0.38,9.60,,10.7
Chile,2001,"9,924",,0.43,9.00,,
Chile,2002,"10,131",,0.50,8.30,95.7,
Chile,2003,"10,499",55.70,0.58,8.10,,11.0
Chile,2004,"11,089",,0.72,8.50,,
Chile,2005,"11,622",,0.89,7.90,,
Chile,2006,"12,205",57.90,1.06,7.50,,11.0
Chile,2007,"12,710",55.70,1.22,8.10,,
Chile,2008,"13,060",,1.35,7.70,,
Chile,2009,"12,782",,1.45,7.80,,11.4
Chile,2010,"13,395",,1.53,7.30,,
Chile,2011,"14,088",57.60,1.64,7.40,96.7,11.3
Chile,2012,"14,810",,1.78,7.10,,
Chile,2013,"15,153",59.60,2.09,6.60,96.3,11.6
Chile,2014,"15,270",,2.98,7.20,,
Chile,2015,"15,439",60.60,3.12,6.80,96.9,11.8
Chile,2016,"15,524",,7.02,6.70,,
Chile,2017,"15,491",61.90,11.76,6.60,96.4,12.1
Chile,2018,"15,822",,12.77,6.70,,
Chile,2019,"15,657",,12.16,6.60,,12.7
Chile,2020,"14,496",55.10,5.11,5.00,,
Colombia,1990,"3,957",,-0.53,29.00,,
Colombia,1991,"3,969",,-1.46,28.10,,
Colombia,1992,"4,061",,-0.88,27.20,,
Colombia,1993,"4,209",,-0.87,26.40,91.1,
Colombia,1994,"4,340",,-0.45,25.50,,
Colombia,1995,"4,481",,-0.92,24.60,,
Colombia,1996,"4,490",,-0.77,23.80,91.2,
Colombia,1997,"4,562",,-0.63,23.00,,
Colombia,1998,"4,509",,-0.66,22.30,,
Colombia,1999,"4,248",,-0.80,21.60,,
Colombia,2000,"4,302",,-0.79,20.90,,
Colombia,2001,"4,305",,-0.69,20.40,,
Colombia,2002,"4,346",60.00,-0.60,19.70,,8.0
Colombia,2003,"4,450",61.70,-0.80,19.10,,8.1
Colombia,2004,"4,621",60.60,-0.62,18.60,92.8,8.2
Colombia,2005,"4,773",61.40,-0.98,18.10,92.8,8.3
Colombia,2006,"5,028",,-0.92,17.50,92.3,
Colombia,2007,"5,300",,-1.14,17.00,92.7,
Colombia,2008,"5,411",60.50,-1.44,16.50,93.4,8.7
Colombia,2009,"5,411",62.40,-1.06,16.00,93.2,8.5
Colombia,2010,"5,591",63.70,-0.76,15.50,93.4,8.7
Colombia,2011,"5,914",65.10,-1.02,15.10,93.6,8.8
Colombia,2012,"6,082",66.30,-1.22,14.50,,8.9
Colombia,2013,"6,331",66.50,-1.40,14.00,,9.1
Colombia,2014,"6,553",67.10,-1.45,13.60,94.2,9.2
Colombia,2015,"6,684",67.60,-0.87,13.20,94.2,9.3
Colombia,2016,"6,751",67.20,1.68,12.70,94.7,9.4
Colombia,2017,"6,740",66.90,8.63,12.40,95.1,9.5
Colombia,2018,"6,783",66.40,10.08,12.00,95.2,9.6
Colombia,2019,"6,872",65.20,7.92,11.60,95.6,9.7
Colombia,2020,"6,281",57.50,4.52,11.20,,9.9
Costa Rica,1990,"5,927",,2.52,14.30,,
Costa Rica,1991,"5,909",,3.33,13.80,,
Costa Rica,1992,"6,293",,3.94,13.30,,
Costa Rica,1993,"6,574",,4.24,13.10,,
Costa Rica,1994,"6,706",,4.47,12.80,,
Costa Rica,1995,"6,821",,4.66,12.70,,
Costa Rica,1996,"6,756",,4.77,12.60,,
Costa Rica,1997,"6,967",,4.78,12.30,,
Costa Rica,1998,"7,306",,4.64,12.00,,
Costa Rica,1999,"7,457",,4.13,11.70,,
Costa Rica,2000,"7,595",58.70,3.42,11.20,94.9,8.2
Costa Rica,2001,"7,716",60.20,2.71,10.80,,8.3
Costa Rica,2002,"7,845",59.60,2.17,10.40,,8.4
Costa Rica,2003,"8,055",59.80,1.91,10.10,,8.6
Costa Rica,2004,"8,285",58.80,1.75,9.90,,8.6
Costa Rica,2005,"8,488",61.10,1.63,9.70,,8.7
Costa Rica,2006,"8,980",61.10,1.52,9.60,,8.8
Costa Rica,2007,"9,583",62.80,1.41,9.60,,8.9
Costa Rica,2008,"9,899",62.10,1.30,9.40,,9.0
Costa Rica,2009,"9,681",60.10,1.16,9.20,,9.1
Costa Rica,2010,"10,069",59.40,1.02,9.10,,9.0
Costa Rica,2011,"10,383",60.80,0.91,8.80,97.4,9.1
Costa Rica,2012,"10,760",60.50,0.84,8.50,,9.3
Costa Rica,2013,"10,902",60.10,0.82,8.20,,9.3
Costa Rica,2014,"11,165",59.70,0.82,8.00,,9.6
Costa Rica,2015,"11,452",60.20,0.83,7.80,,9.4
Costa Rica,2016,"11,813",61.50,0.84,7.60,,9.3
Costa Rica,2017,"12,185",60.00,0.84,7.40,,9.4
Costa Rica,2018,"12,387",59.50,0.83,7.20,,9.6
Costa Rica,2019,"12,577",58.40,0.82,7.00,,9.7
Costa Rica,2020,"11,949",49.70,0.41,6.80,98.0,9.8
Cuba,1990,"5,447",,-1.45,11.00,,
Cuba,1991,"4,825",,-1.93,10.60,,
Cuba,1992,"4,239",,-2.03,10.10,,
Cuba,1993,"3,589",,-2.24,9.60,,
Cuba,1994,"3,600",,-2.50,9.20,,
Cuba,1995,"3,675",,-2.62,8.80,,
Cuba,1996,"3,950",,-2.28,8.50,,
Cuba,1997,"4,047",,-3.11,8.10,,
Cuba,1998,"4,040",,-2.93,7.80,,
Cuba,1999,"4,276",,-2.78,7.50,,
Cuba,2000,"4,514",,-2.24,7.20,,
Cuba,2001,"4,644",,-2.00,6.90,,
Cuba,2002,"4,697",,-2.13,6.70,99.8,
Cuba,2003,"4,863",,-1.74,6.40,,
Cuba,2004,"5,131",,-1.21,6.20,,
Cuba,2005,"5,695",,-1.06,6.00,,
Cuba,2006,"6,374",,-0.84,5.80,,
Cuba,2007,"6,832",,-1.28,5.60,,
Cuba,2008,"7,109",,-2.18,5.50,,
Cuba,2009,"7,208",,-2.68,5.30,,
Cuba,2010,"7,375",,-2.45,5.20,,
Cuba,2011,"7,576",,-2.54,5.00,,
Cuba,2012,"7,797",,-1.55,4.90,99.7,
Cuba,2013,"8,003",,-1.35,4.80,,
Cuba,2014,"8,079",,-1.28,4.70,,
Cuba,2015,"8,432",,-1.27,4.60,,
Cuba,2016,"8,474",,-1.27,4.50,,
Cuba,2017,"8,631",,-1.28,4.40,,
Cuba,2018,"8,832",,-1.25,4.30,,
Cuba,2019,"8,826",,-1.21,4.20,,
Cuba,2020,"7,871",,-0.62,4.10,99.7,
Dominica,1990,"5,192",,-22.09,17.60,,
Dominica,1991,"5,292",,-16.21,17.80,,
Dominica,1992,"5,400",,-15.05,15.60,,
Dominica,1993,"5,508",,-14.54,14.30,,
Dominica,1994,"5,510",,-13.29,16.40,,
Dominica,1995,"5,677",,-12.22,13.30,,
Dominica,1996,"5,854",,-11.28,13.50,,
Dominica,1997,"5,990",,-10.99,13.80,,
Dominica,1998,"6,234",,-11.23,13.20,,
Dominica,1999,"6,275",,-13.66,19.40,,
Dominica,2000,"6,459",,-14.44,16.70,,
Dominica,2001,"6,464",,-8.80,19.90,,
Dominica,2002,"6,272",,-4.07,13.70,,
Dominica,2003,"6,661",,-3.78,17.80,,
Dominica,2004,"6,844",,-4.42,14.40,,
Dominica,2005,"6,879",,-4.56,17.80,,
Dominica,2006,"7,200",,-5.66,13.90,,
Dominica,2007,"7,646",,-4.82,17.50,,
Dominica,2008,"8,190",,-5.03,12.80,,
Dominica,2009,"8,095",,-3.31,19.80,,
Dominica,2010,"8,149",,-3.53,21.20,,
Dominica,2011,"8,143",,0.00,30.60,,
Dominica,2012,"8,033",,2.30,28.00,,
Dominica,2013,"7,964",,-6.45,37.10,,
Dominica,2014,"8,271",,21.05,36.30,,
Dominica,2015,"7,976",,-5.60,33.90,,
Dominica,2016,"8,185",,2.56,30.40,,
Dominica,2017,"7,610",,2.66,35.00,,
Dominica,2018,"7,836",,2.74,12.10,,
Dominica,2019,"8,197",,4.57,12.00,,
Dominica,2020,"6,779",,1.39,11.80,,
Ecuador,1990,"4,422",,-1.45,42.50,88.3,
Ecuador,1991,"4,509",,-2.00,40.80,,
Ecuador,1992,"4,509",,-3.18,38.80,,
Ecuador,1993,"4,507",,-3.75,36.90,,
Ecuador,1994,"4,610",,-3.90,34.80,,
Ecuador,1995,"4,627",,-3.90,32.90,,
Ecuador,1996,"4,622",,-3.90,30.90,,
Ecuador,1997,"4,736",,-3.93,29.10,,
Ecuador,1998,"4,806",,-3.93,27.40,,
Ecuador,1999,"4,500",,-3.73,25.70,,
Ecuador,2000,"4,472",,-3.31,24.40,,
Ecuador,2001,"4,572",,-2.72,23.20,91.0,8.4
Ecuador,2002,"4,677",,-2.15,22.10,,
Ecuador,2003,"4,721",64.00,-1.70,21.10,,8.6
Ecuador,2004,"5,021",,-1.54,20.30,,
Ecuador,2005,"5,196",67.00,-1.22,19.50,,8.7
Ecuador,2006,"5,332",68.30,-0.90,18.80,,8.8
Ecuador,2007,"5,356",67.40,-0.68,18.10,92.1,8.9
Ecuador,2008,"5,601",65.10,-0.60,17.40,92.4,9.0
Ecuador,2009,"5,538",64.20,-0.58,16.70,92.2,9.0
Ecuador,2010,"5,639",63.10,-0.56,16.00,91.9,9.2
Ecuador,2011,"5,984",63.40,-0.53,15.30,91.6,9.3
Ecuador,2012,"6,221",63.10,-0.51,14.60,92.1,9.5
Ecuador,2013,"6,429",62.80,-0.39,14.00,93.3,9.6
Ecuador,2014,"6,575",64.60,0.14,13.50,94.2,9.5
Ecuador,2015,"6,485",65.20,0.91,13.00,94.5,9.8
Ecuador,2016,"6,310",66.40,1.65,12.60,94.4,9.8
Ecuador,2017,"6,360",67.50,2.96,12.20,92.8,9.8
Ecuador,2018,"6,321",66.60,9.05,11.80,,9.7
Ecuador,2019,"6,203",66.20,4.15,11.40,,9.8
Ecuador,2020,"5,640",64.80,2.04,11.00,93.6,9.9
El Caribe,1990,"7,149",,-7.14,24.10,,
El Caribe,1991,"7,119",,-5.41,23.50,,
El Caribe,1992,"7,040",,-5.14,22.80,,
El Caribe,1993,"7,043",,-5.36,21.90,,
El Caribe,1994,"7,174",,-4.82,21.20,,
El Caribe,1995,"7,329",,-4.30,20.50,,
El Caribe,1996,"7,510",,-4.18,19.80,,
El Caribe,1997,"7,695",,-4.19,19.20,,
El Caribe,1998,"7,890",,-4.07,18.80,,
El Caribe,1999,"8,153",,-4.58,18.30,,
El Caribe,2000,"8,392",,-6.16,17.70,,
El Caribe,2001,"8,504",,-6.37,17.40,,
El Caribe,2002,"8,726",,-6.05,16.90,,
El Caribe,2003,"9,162",,-6.35,16.60,,
El Caribe,2004,"9,430",,-6.85,16.30,,
El Caribe,2005,"9,722",,-6.91,16.00,,
El Caribe,2006,"10,365",,-5.52,15.70,,
El Caribe,2007,"10,648",,-5.51,15.40,,
El Caribe,2008,"10,716",,-5.36,15.20,,
El Caribe,2009,"10,266",,-5.15,14.90,,
El Caribe,2010,"10,332",,-5.53,14.60,,
El Caribe,2011,"10,371",,-5.77,14.40,,
El Caribe,2012,"10,445",,-5.25,14.10,,
El Caribe,2013,"10,524",,-5.94,14.00,,
El Caribe,2014,"10,684",,-6.63,13.70,,
El Caribe,2015,"10,655",,-6.99,13.40,,
El Caribe,2016,"10,405",,-6.94,13.10,,
El Caribe,2017,"10,293",,-6.45,13.20,,
El Caribe,2018,"10,340",,5.10,12.80,,
El Caribe,2019,"10,354",,-6.38,12.80,,
El Caribe,2020,"9,373",,-0.22,12.70,,
El Salvador,1990,"2,442",,-7.37,53.50,,
El Salvador,1991,"2,435",,-9.23,48.70,,
El Salvador,1992,"2,564",,-8.65,44.20,74.1,
El Salvador,1993,"2,675",,-13.44,40.20,,
El Salvador,1994,"2,770",,-14.31,36.70,,
El Salvador,1995,"2,873",,-15.41,36.00,,
El Salvador,1996,"2,872",,-15.78,34.00,,
El Salvador,1997,"2,939",,-15.80,32.10,,
El Salvador,1998,"2,995",,-16.35,30.60,,
El Salvador,1999,"3,040",,-16.45,28.70,,
El Salvador,2000,"3,056",58.80,-16.17,27.10,,6.7
El Salvador,2001,"3,068",59.20,-15.46,26.10,,6.9
El Salvador,2002,"3,104",58.20,-15.19,24.40,,7.1
El Salvador,2003,"3,145",60.00,-15.10,23.30,,7.1
El Salvador,2004,"3,168",58.90,-14.67,22.00,,7.2
El Salvador,2005,"3,252",58.70,-14.96,21.00,,7.4
El Salvador,2006,"3,395",59.80,-14.79,19.80,83.6,7.5
El Salvador,2007,"3,452",60.60,-9.36,18.90,82.0,7.5
El Salvador,2008,"3,512",,-9.20,18.00,84.0,7.5
El Salvador,2009,"3,425",60.00,-9.14,17.30,84.1,7.5
