;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;  Least developed countries;;941;13 440 115;8 448 441;1 195 002; 942 783;1 115 010; 40 287; 5 923; 2 717; 181 651; 199 575;11 732 239;3 415 800;11 488 969;8 316 439;3 645 368; 162 900; 275 676;4 498 589; 772 240;3 726 349;7 127 757;9 571 067;3 949 509;1 827 503;1 122 626; 52 334;2 619 095;2 130 169; 17 614; 262 422; 852 588; 925 169; 72 376; 124 344; 1 014; 53 729; 19 835; 49 766; 40 287; 14 165;  970; 25 152; 57 307; 8 640; 2 717; 2 019; 1 842; 2 062;1 508 301
15;  Land-locked Developing Countries (LLDC);;1636;13 821 420;4 928 261;1 553 667;1 358 003; 197 953; 250 864;  742; 1 581;4 648 966;4 655 635;8 284 402;3 439 156;8 225 481;4 845 246;2 820 558; 8 417; 190 160;8 087 499;4 913 914;3 173 585;4 661 418;5 951 257;2 585 516;1 051 277;1 022 996; 58 278;1 233 190;2 086 627; 521 034; 167 393; 30 560; 836 969; 530 671;4 631 683;4 427 626; 32 557; 131 559; 39 941; 250 864; 5 164; 12 907; 232 793; 17 283; 2 323; 1 581;  4;..;  738; 881 383
16;  Small island developing States (SIDS);;1637;5 273 967; 57 504; 148 576; 917 920;1 999 957;1 016 688; 66 379; 36 097; 575 191; 615 548;4 202 764;3 358 052;3 667 538; 844 712; 7 179; 956 760; 805 456;3 363 293;2 181 840;1 181 453; 607 696; 145 398; 20 743; 3 470; 87 894; 1 332; 31 959;2 978 559;  10; 544 816;1 455 141; 917 910; 60 682; 269 953; 3 008; 31 497; 25 595; 209 853;1 016 688; 841 699; 59 937; 115 052; 305 238; 102 476; 36 097; 11 188; 21 672; 33 519; 455 655
17;  High-income countries;;1503;158 516 311;7 010 597;18 229 558;27 112 750;26 868 656;30 931 523; 458 818;1 179 649;41 263 089;43 040 158;110 014 482;97 045 121;99 702 155;12 969 361;6 424 431;9 288 224;40 965 198;104 191 836;54 365 728;49 826 108;7 817 281;16 228 156;2 844 081; 940 982;9 217 559; 711 599;2 513 935;62 993 405;1 306 417;12 865 906;14 002 750;25 806 333;9 011 999;38 458 306;14 672 136;6 659 211;9 901 505;7 225 454;30 931 523;7 462 258;15 643 964;7 825 301;2 804 783;1 638 467;1 179 649; 222 668; 37 035; 199 115;5 461 671
18;  Middle-income countries;;1517;78 597 464;9 954 801;12 488 284;19 028 296;8 279 668;5 124 242; 32 447; 72 912;18 805 532;19 044 147;54 742 035;33 187 885;53 761 644;21 554 150;21 865 101; 939 378;6 054 437;50 202 388;22 580 673;27 621 715;17 340 438;10 567 413;3 326 876;1 287 491; 612 612; 382 346;4 958 088;39 183 636;6 083 876;1 502 623;6 777 045;12 944 420;11 875 672;17 606 310;13 912 543; 649 495;2 129 896; 914 376;5 124 242; 590 912; 646 288;3 887 042;1 199 222; 105 359; 72 912; 5 440; 4 876; 22 131;4 811 282
19; Upper-middle-income countries;;1502;50 991 477;2 498 650;11 270 731;9 764 674;6 761 761;4 903 830; 25 533; 49 134;13 326 418;13 505 357;35 095 374;25 772 378;34 523 450;9 322 996;14 406 169; 805 086;5 120 602;33 812 153;16 219 629;17 592 524;9 664 597;2 781 112;1 526 203; 370 648; 282 462; 328 854; 272 945;27 514 704;5 501 211;1 035 674;5 726 087;4 263 463;10 988 269;12 309 888;8 948 087; 497 443;2 076 338; 788 020;4 903 830; 585 155; 549 706;3 768 969;1 016 530; 74 667; 49 134; 2 202; 1 613; 21 718;2 390 746
20; Lower-middle-income countries;;1501;27 605 987;7 456 151;1 217 553;9 263 622;1 517 907; 220 412; 6 914; 23 778;5 479 114;5 538 790;19 646 661;7 415 507;19 238 194;12 231 154;7 458 932; 134 292; 933 835;16 390 235;6 361 044;10 029 191;7 675 841;7 786 301;1 800 673; 916 843; 330 150; 53 492;4 685 143;11 668 932; 582 665; 466 949;1 050 958;8 680 957; 887 403;5 296 422;4 964 456; 152 052; 53 558; 126 356; 220 412; 5 757; 96 582; 118 073; 182 692; 30 692; 23 778; 3 238; 3 263;  413;2 420 536
21;  Low-income countries;;1500;10 321 749;7 125 962;1 886 829; 339 900; 54 775; 27 722; 1 807;  333; 294 854; 296 472;9 435 710;2 605 964;9 398 667;6 829 746;3 045 534; 70 390; 96 854;3 453 305; 564 849;2 888 456;6 181 088;8 209 844;3 552 492;1 588 517;1 083 882; 35 940;1 949 013;1 197 622; 37 739; 47 555; 7 220; 302 161; 802 947; 286 096; 237 936; 4 154; 12 833; 31 173; 27 722; 14 158;  970; 12 594; 8 758; 2 140;  333;  31;  39; 1 737; 589 567
22; AFRICA;;903;22 860 792;16 787 448;2 240 066; 159 557; 91 679; 29 928; 1 978; 10 543; 628 931; 644 194;19 305 936;4 899 633;19 271 250;14 406 303;8 085 621; 223 797; 741 633;6 385 904; 592 323;5 793 581;12 629 038;18 200 172;6 615 807;2 862 569;1 412 724; 414 354;6 894 718;1 078 578; 4 322; 46 494; 45 185; 155 235; 827 342; 581 876; 48 816; 119 871; 99 855; 313 334; 29 928; 13 089; 1 880; 14 959; 47 055; 12 521; 10 543;  136;  85; 1 757;2 910 662
23;  Eastern Africa;;910;6 696 922;5 327 613; 698 013; 52 114; 8 562;  59;..;  283; 137 310; 137 873;6 086 081; 435 184;6 079 230;5 650 897;2 374 143; 106 195; 160 059; 804 363; 63 740; 740 623;5 252 175;6 012 262;4 218 033;1 029 628; 684 649; 63 506; 16 446; 74 040;..; 7 416; 1 146; 52 114; 13 364; 133 530;  425; 17 816; 5 675; 109 614;  59;  59;..;..; 3 780;  283;  283;..;..;..; 472 968
24;  Middle Africa;;911;3 479 911;2 244 984; 351 848;..; 1 592;  536;..;  10; 61 739; 61 778;2 598 931; 405 224;2 597 691;2 193 707;1 171 671; 24 512; 59 265; 761 626; 105 640; 655 986;1 839 818;2 593 326; 355 514;1 425 332; 348 342; 6 820; 457 318; 5 098;..; 1 592;..;..; 3 506; 59 074; 2 712;  279; 9 513; 46 570;  536;  536;..;..; 2 665;  10;  10;..;..;..; 819 202
25;  Northern Africa;;912;2 138 918; 769 868;1 095 039; 15 105; 43 614; 1 498;..; 1 109; 150 099; 152 952;1 923 380;1 099 941;1 918 710; 823 439; 419 920; 8 279; 205 900; 763 920; 205 555; 558 365; 949 854;1 080 681; 630 901; 100 188; 310 813;  961; 37 818; 842 945; 2 453; 7 396; 36 218; 12 652; 784 226; 129 679; 17 067; 14 590; 23 495; 74 527; 1 498;  21;  891;  586; 20 420; 1 109; 1 109;..;..;..; 62 586
26;  Southern Africa;;913;3 477 903;2 002 694; 24 488; 87 207; 27 568; 12 016;  171; 9 096; 238 534; 249 554;2 152 220;1 142 864;2 135 028;1 009 356;1 229 114; 14 702; 259 360;1 459 480; 161 492;1 297 988; 682 336;2 013 377;1 405 000; 194 695; 10 683; 341 022; 61 977; 128 580;  37; 21 116; 6 452; 87 170; 13 805; 223 700; 27 210; 84 701; 53 527; 58 262; 12 016; 3 061;  559; 8 396; 14 834; 9 267; 9 096;  105;  46;  20;1 076 129
27;  Western Africa;;914;7 067 138;6 442 289; 70 678; 5 131; 10 343; 15 819; 1 807;  45; 41 249; 42 037;6 545 324;1 816 420;6 540 591;4 728 904;2 890 773; 70 109; 57 049;2 596 515; 55 896;2 540 619;3 904 855;6 500 526; 6 359; 112 726; 58 237; 2 045;6 321 159; 27 915; 1 832; 8 974; 1 369; 3 299; 12 441; 35 893; 1 402; 2 485; 7 645; 24 361; 15 819; 9 412;  430; 5 977; 5 356; 1 852;  45;  31;  39; 1 737; 479 777
28; ASIA;;935;77 191 249; 712 178;15 980 733;29 934 014;19 193 898; 376 798; 1 937; 90 494;7 070 539;7 278 180;66 082 411;46 380 815;60 600 335;19 701 596;9 469 470; 217 578;3 606 259;56 889 637;17 986 807;38 902 830;12 864 649;4 166 307; 651 331; 8 630;3 454 129; 19 209; 33 008;61 654 516; 625 192;6 377 319;12 816 579;29 308 822;12 526 604;6 573 735;5 435 470; 335 402; 269 026; 533 837; 376 798;  449; 5 262; 371 087; 496 804; 92 431; 90 494;  895; 1 042;..;3 830 658
29;  Central Asia;;5500;5 392 792;  45; 162 093; 486 689; 98 292;  22;..;  109;4 300 929;4 301 038; 747 141; 734 472; 744 660; 12 669; 604 342;  22; 59 455;4 881 551;3 977 590; 903 961; 107 173;  174;  23;..;  129;..;  22; 746 945; 470 242; 98 162;  130; 16 447; 161 964;4 300 606;4 277 544; 11 296;..; 11 766;  22;  22;..;..;  323;  109;  109;..;..;..; 344 613
30;  Eastern Asia;;906;7 866 663; 6 907; 1 969; 231 903;6 640 059; 292 094;..; 33 770; 290 678; 361 768;7 135 612;7 012 850;2 730 200; 122 762; 108 562; 12 331;1 263 022;6 233 725;4 845 640;1 388 085;  633; 8 654;..;..; 1 747; 1 212; 5 695;6 872 184; 45 633;5 070 782;1 569 277; 186 270;  222; 107 266; 18 288; 49 580; 9 634; 29 764; 292 094;..; 2 141; 289 953; 183 412; 33 770; 33 770;..;..;..; 369 283
31;  South-Eastern Asia;;920;10 161 147; 3 542; 25 455;1 649 043;7 650 438; 1 685; 1 102; 42 147; 167 857; 270 941;9 270 328;4 490 571;8 515 512;4 779 757;1 480 877; 138 874; 530 839;8 997 281;3 322 513;5 674 768; 13 149; 7 107; 1 700;  653; 3 565;  813;  376;9 321 371;..; 868 560;6 781 878;1 649 043; 21 890; 81 842;  486; 56 022; 4 790; 20 544; 1 685;  143;  218; 1 324; 86 015; 43 249; 42 147;  60; 1 042;..; 619 878
32;  Southern Asia;;5501;13 873 473; 59 886; 184 497;11 578 095;1 181 818; 14 956;  833; 4 825; 161 546; 183 130;13 003 326;4 633 642;12 706 467;8 369 684;5 375 941; 52 619; 331 752;8 442 523; 788 345;7 654 178;4 412 181; 60 093; 58 660;..;  207;  260;  966;12 944 203; 18 589; 314 254; 867 564;11 559 506; 184 290; 74 681; 1 483; 61 262; 5 787; 6 149; 14 956;  37;..; 14 919; 86 865; 5 658; 4 825;  833;..;..; 687 017
33;  Western Asia;;922;39 897 174; 641 798;15 606 719;15 988 284;3 623 291; 68 041;  2; 9 643;2 149 529;2 161 303;35 926 004;29 509 280;35 903 496;6 416 724;1 899 748; 13 732;1 421 191;28 334 557;5 052 719;23 281 838;8 331 513;4 090 279; 590 948; 7 977;3 448 481; 16 924; 25 949;31 769 813; 90 728; 25 561;3 597 730;15 897 556;12 158 238;2 009 340;1 137 669; 157 242; 248 815; 465 614; 68 041;  247; 2 903; 64 891; 140 189; 9 645; 9 643;  2;..;..;1 809 867
34; EUROPE;;908;74 759 083;4 262 297;11 498 132;10 402 360;3 171 374;4 487 571; 13 644; 334 598;39 390 649;39 867 195;33 693 430;30 222 775;32 526 319;3 470 655;10 827 606;1 472 855;24 227 497;46 096 682;26 735 133;19 361 549;3 219 234;9 536 606;1 545 069; 785 758;5 274 309; 308 386;1 623 084;19 797 557;6 667 066;1 488 382;1 682 992;3 735 294;6 223 823;38 418 244;20 903 246;3 577 359;8 481 556;5 456 083;4 487 571; 813 625; 264 754;3 409 192; 972 405; 348 242; 334 598; 10 604;  683; 2 357;1 198 458
35;  Eastern Europe;;923;19 833 989; 16 582;2 116 713;5 651 282; 226 719; 15 579;  766; 4 131;11 341 361;11 350 292;8 022 841;7 986 426;7 934 335; 36 415;7 688 795; 6 280;1 597 511;17 186 437;10 529 120;6 657 317; 588 909; 33 057; 4 638; 3 228; 16 475; 1 927; 6 789;7 978 239;5 596 606; 138 542; 88 177; 54 676;2 100 238;11 293 059;10 256 237; 453 951; 206 512; 376 359; 15 579; 4 564; 2 207; 8 808; 48 302; 4 897; 4 131;  48;  70;  648; 460 856
36;  Northern Europe;;924;13 191 086;1 574 603;1 026 032;2 247 701;1 050 012; 541 580; 8 905; 220 728;6 311 494;6 583 974;6 397 081;5 293 968;6 010 571;1 103 113; 609 857; 418 025;6 233 136;5 873 430;2 617 872;3 255 558; 859 279;1 742 998; 872 893; 63 560; 168 395; 229 140; 409 010;4 155 350; 38 968; 491 231; 558 781;2 208 733; 857 637;5 907 202;2 403 221;1 885 586; 788 876; 829 519; 541 580; 265 394; 28 321; 247 865; 404 292; 229 633; 220 728; 7 890;  238;  777; 210 031
37;  Southern Europe;;925;15 815 457; 971 534;1 812 693; 681 169; 628 387;2 997 487; 1 717; 58 605;8 621 005;8 694 889;7 077 708;6 282 660;6 702 835; 795 048; 797 290; 511 474;5 455 973;9 969 528;6 228 956;3 740 572; 346 700;2 473 218; 170 661; 235 980;1 501 684; 27 982; 536 911;1 620 565; 49 456; 399 600; 228 787; 631 713; 311 009;8 433 266;3 132 684; 570 343;3 163 927;1 566 312;2 997 487; 372 394; 165 953;2 459 140; 187 739; 60 322; 58 605;  816;  322;  579; 42 860
38;  Western Europe;;926;25 918 551;1 699 578;6 542 694;1 822 208;1 266 256; 932 925; 2 256; 51 134;13 116 789;13 238 040;12 195 800;10 659 721;11 878 578;1 536 079;1 731 664; 537 076;10 940 877;13 067 287;7 359 185;5 708 102;1 424 346;5 287 333; 496 877; 482 990;3 587 755; 49 337; 670 374;6 043 403; 982 036; 459 009; 807 247; 840 172;2 954 939;12 784 717;5 111 104; 667 479;4 322 241;2 683 893; 932 925; 171 273; 68 273; 693 379; 332 072; 53 390; 51 134; 1 850;  53;  353; 484 711
39; LATIN AMERICA AND THE CARIBBEAN;;904;9 441 503; 30 799; 73 550; 19 851; 257 140;6 166 726;  172; 4 551;2 473 848;2 554 631;6 472 006;5 844 693;6 336 453; 627 313;1 284 210;1 090 305;3 147 187;5 207 201;4 125 774;1 081 427; 636 121; 39 533; 4 029; 10 862; 8 734; 2 903; 13 005; 341 807;  147; 243 598; 13 542; 19 704; 64 816;1 291 715; 52 879; 57 581; 855 748; 325 507;6 166 726; 993 471; 691 735;4 481 520;1 182 133; 4 723; 4 551;  14;  133;  25; 414 866
40;  Caribbean;;915;1 501 081; 2 566; 2 702; 6 509; 15 343; 940 613;  19;  478; 420 384; 421 711; 966 903; 423 897; 958 230; 543 006;  700; 868 395; 491 901; 323 407; 304 593; 18 814; 543 678; 2 946; 1 052;  205;  380;  228; 1 081; 24 174;  10; 10 200; 5 143; 6 499; 2 322; 175 986; 1 992; 20 690; 19 796; 133 508; 940 613; 832 854; 15 379; 92 380; 244 398;  497;  478;..;..;  19; 112 467
41;  Central America;;916;1 860 215; 1 282; 7 764; 8 089; 49 635; 859 613;  6; 1 069; 891 348; 897 199; 921 607; 919 405; 886 487; 2 202; 3 994; 45 845; 936 851; 877 813; 402 179; 475 634; 4 055; 2 208;  219;  252;  926;  306;  505; 64 562;  6; 46 212; 3 423; 8 083; 6 838; 92 826; 7 989; 9 887; 43 445; 31 505; 859 613; 41 860; 620 056; 197 697; 798 522; 1 075; 1 069;  1;  5;..; 41 409
42;  South America;;931;6 080 207; 26 951; 63 084; 5 253; 192 162;4 366 500;  147; 3 004;1 162 116;1 235 721;4 583 496;4 501 391;4 491 736; 82 105;1 279 516; 176 065;1 718 435;4 005 981;3 419 002; 586 979; 88 388; 34 379; 2 758; 10 405; 7 428; 2 369; 11 419; 253 071;  131; 187 186; 4 976; 5 122; 55 656;1 022 903; 42 898; 27 004; 792 507; 160 494;4 366 500; 118 757; 56 300;4 191 443; 139 213; 3 151; 3 004;  13;  128;  6; 260 990
43; NORTHERN AMERICA;;905;55 633 741;1 974 121;2 434 443;5 021 586;10 506 967;24 980 329; 125 873; 154 382;8 026 249;8 543 515;44 680 435;41 767 826;40 883 531;2 912 609;1 397 118;7 002 774;11 616 618;39 689 762;26 135 020;13 554 742;1 904 071;2 663 579; 846 463; 142 131; 689 458; 148 023; 837 504;17 273 538; 126 795;5 344 541;5 162 426;4 894 791;1 744 985;6 926 249;2 205 201;1 600 179;1 741 818;1 379 051;24 980 329;6 303 743;15 308 301;3 368 285;1 100 000; 280 255; 154 382; 71 785; 15 252; 38 836;2 409 791
44; OCEANIA ;;909;8 072 276; 430 368; 379 123; 943 762;1 984 532; 164 648; 351 616; 661 634;3 002 186;3 725 297;4 192 572;3 828 368;3 477 500; 364 204; 272 264; 459 853;4 017 525;3 712 778;2 001 083;1 711 695; 146 834; 505 762; 161 591; 7 040; 75 394; 237 076; 24 661;3 232 023; 4 510; 917 391;1 067 141; 939 252; 303 729;2 785 934; 177 003;1 624 755; 597 250; 386 926; 164 648; 10 930; 19 290; 134 428; 216 252;1 013 250; 661 634; 146 335; 24 755; 180 526; 154 407
45;  Australia and New Zealand;;927;7 769 466; 430 302; 376 683; 937 913;1 904 449; 159 787; 283 916; 640 591;2 904 774;3 603 595;4 034 820;3 681 497;3 328 184; 353 323; 271 549; 398 564;3 874 747;3 587 529;1 952 793;1 634 736; 146 834; 503 256; 161 525; 7 040; 72 954; 237 076; 24 661;3 146 091; 4 510; 901 056;1 003 393; 933 403; 303 729;2 714 704; 176 977;1 622 399; 596 652; 318 676; 159 787; 6 069; 19 290; 134 428; 190 070; 924 507; 640 591; 134 054; 3 083; 146 779; 131 051
46;  Melanesia;;928; 119 343;  28; 1 759; 4 717; 19 754;..; 21 220; 15 144; 47 986; 63 417; 47 191; 38 201; 45 894; 8 990;  590; 10 094; 64 359; 35 039; 18 557; 16 482;..; 1 787;  28;..; 1 759;..;..; 24 471;..; 1 679; 18 075; 4 717;..; 46 991;  26; 2 151;  370; 44 444;..;..;..;..;  995; 36 364; 15 144; 6 342; 1 040; 13 838; 8 735
47;  Micronesia;;954; 113 466;..;..;  906; 57 170; 4 861; 21 704;  177; 21 731; 24 732; 81 817; 80 449; 76 063; 1 368;  125; 26 565; 41 171; 65 378; 7 570; 57 808;..;..;..;..;..;..;..; 58 076;..; 12 840; 44 330;  906;..;  8;..;  8;..;..; 4 861; 4 861;..;..; 21 723; 21 881;  177;  770; 20 547;  387; 6 917
